incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours,incident_severity_score
I0093,DL00056,appsyncerror,2024-10-22 23:20:00,medium,pendingvendor,12.3,2
I0094,DL00887,customernoshow,2025-06-10 00:31:00,high,pendingvendor,12.5,3
I0095,DL00317,proofmissing,2024-12-15 15:29:00,low,closed,7.9,1
I0096,DL00748,customernoshow,2025-05-30 04:50:00,low,pendingvendor,7.4,1
I0097,DL00629,customernoshow,2024-05-23 09:17:00,medium,closed,0.2,2
I0098,DL00810,temperatureissue,2025-03-09 18:58:00,critical,pendingvendor,2.8,4
I0099,DL00309,vehiclefault,2024-06-29 01:41:00,critical,open,2.8,4
I0100,DL00306,customernoshow,2024-12-15 22:19:00,high,closed,0.4,3
I0101,DL00578,vehiclefault,2024-02-21 09:51:00,low,pendingvendor,10.9,1
I0102,DL00857,vehiclefault,2025-10-29 19:52:00,critical,pendingvendor,26.7,4
I0103,DL00655,proofmissing,2025-09-10 04:24:00,low,closed,41.7,1
I0104,DL00094,appsyncerror,2025-05-26 23:23:00,medium,open,4.8,2
I0105,DL00913,customernoshow,2024-05-18 09:18:00,critical,open,10.0,4
I0106,DL00754,routedeviation,2025-03-21 15:11:00,medium,pendingvendor,10.2,2
I0107,DL00612,batteryalert,2024-12-05 05:43:00,low,closed,9.7,1
I0108,DL00265,customernoshow,2024-06-28 13:27:00,high,closed,,3
I0109,DL00760,routedeviation,2024-07-23 16:26:00,high,open,20.3,3
I0110,DL00855,temperatureissue,2025-01-08 13:40:00,medium,closed,31.4,2
I0111,DL00403,safetynearmiss,2025-11-02 11:15:00,low,escalated,,1
I0112,DL00627,batteryalert,2024-03-19 13:29:00,high,open,1.7,3
I0113,DL00562,appsyncerror,2024-12-14 11:33:00,medium,closed,16.8,2
I0114,DL00373,routedeviation,2024-01-20 07:06:00,low,closed,20.6,1
I0115,DL00027,batteryalert,2024-01-01 05:05:00,critical,open,15.4,4
I0116,DL00019,safetynearmiss,2024-06-26 00:10:00,critical,escalated,12.1,4
I0117,DL00911,routedeviation,2025-04-17 18:32:00,high,pendingvendor,0.6,3
I0118,DL00778,safetynearmiss,2024-09-28 20:47:00,high,escalated,13.9,3
I0119,DL00273,appsyncerror,2025-10-16 05:16:00,high,closed,3.7,3
I0120,DL00169,vehiclefault,2025-04-26 10:06:00,high,closed,0.4,3
I0121,DL00859,appsyncerror,2024-09-21 11:35:00,medium,closed,4.9,2
I0122,DL00518,routedeviation,2025-04-15 03:13:00,high,open,18.1,3
I0123,DL00939,customernoshow,2025-01-10 20:08:00,medium,closed,20.1,2
I0124,DL00324,temperatureissue,2024-08-14 07:12:00,critical,closed,4.9,4
I0125,DL00511,routedeviation,2025-12-30 09:16:00,medium,open,11.4,2
I0126,DL00688,routedeviation,2025-10-24 17:22:00,medium,closed,6.7,2
I0127,DL00404,temperatureissue,2024-04-03 05:31:00,low,escalated,13.1,1
I0128,DL00743,routedeviation,2025-05-01 05:28:00,low,open,19.5,1
I0129,DL00456,proofmissing,2024-09-16 22:56:00,medium,closed,15.5,2
I0130,DL00496,customernoshow,2024-04-23 22:00:00,critical,open,14.6,4
I0131,DL00577,temperatureissue,2024-01-12 22:06:00,medium,closed,12.0,2
I0132,DL00768,temperatureissue,2024-01-29 05:15:00,medium,closed,4.9,2
I0133,DL00523,vehiclefault,2024-05-26 19:46:00,critical,closed,14.2,4
I0134,DL00423,batteryalert,2025-10-05 16:20:00,medium,open,3.8,2
I0135,DL00011,proofmissing,2024-02-02 04:42:00,medium,open,,2
I0136,DL00414,customernoshow,2024-03-12 18:37:00,high,closed,16.1,3
I0137,DL00525,batteryalert,2024-04-22 08:02:00,low,closed,1.0,1
I0138,DL00050,appsyncerror,2025-09-05 05:30:00,medium,escalated,,2
I0139,DL00126,proofmissing,2024-04-09 17:00:00,medium,pendingvendor,11.4,2
I0140,DL00790,routedeviation,2024-10-26 16:14:00,high,open,10.9,3
I0141,DL00294,routedeviation,2025-10-20 03:35:00,low,closed,18.0,1
I0142,DL00192,safetynearmiss,2025-08-18 23:10:00,medium,escalated,14.4,2
I0143,DL00848,vehiclefault,2024-02-12 16:28:00,high,open,14.5,3
I0144,DL00288,customernoshow,2024-06-20 13:44:00,medium,open,5.5,2
I0145,DL00418,batteryalert,2024-11-02 09:19:00,critical,closed,10.2,4
I0146,DL00291,proofmissing,2024-11-27 06:22:00,low,closed,1.5,1
I0147,DL00771,customernoshow,2024-08-11 04:09:00,medium,closed,19.6,2
I0148,DL00247,routedeviation,2024-12-31 13:52:00,low,closed,18.6,1
I0149,DL00944,customernoshow,2024-01-10 08:12:00,medium,closed,3.1,2
I0150,DL00714,proofmissing,2025-10-06 08:55:00,medium,pendingvendor,3.1,2
I0151,DL00569,customernoshow,2025-11-07 02:53:00,low,open,24.2,1
I0152,DL00548,appsyncerror,2024-06-25 12:34:00,medium,pendingvendor,17.6,2
I0153,DL00766,appsyncerror,2025-01-27 07:51:00,medium,closed,10.5,2
I0154,DL00603,batteryalert,2024-03-16 09:54:00,medium,open,13.0,2
I0155,DL00507,routedeviation,2025-04-30 01:04:00,high,open,18.4,3
I0156,DL00772,vehiclefault,2024-10-24 09:55:00,high,escalated,10.8,3
I0157,DL00307,temperatureissue,2024-09-22 19:02:00,medium,closed,7.2,2
I0158,DL00308,customernoshow,2024-01-16 02:49:00,high,closed,4.6,3
I0159,DL00776,vehiclefault,2024-11-19 17:18:00,medium,closed,1.4,2
I0160,DL00806,batteryalert,2025-12-28 15:15:00,low,closed,10.2,1
I0161,DL00402,appsyncerror,2024-12-04 02:29:00,medium,pendingvendor,8.9,2
I0162,DL00231,temperatureissue,2024-03-28 02:07:00,medium,open,12.9,2
I0163,DL00062,appsyncerror,2024-02-24 19:54:00,medium,open,4.9,2
I0164,DL00844,routedeviation,2025-01-03 20:43:00,critical,closed,15.9,4
I0165,DL00057,vehiclefault,2024-12-09 12:50:00,medium,open,0.1,2
I0166,DL00529,temperatureissue,2024-09-01 09:50:00,high,escalated,8.1,3
I0167,DL00364,batteryalert,2024-01-14 04:25:00,low,pendingvendor,15.2,1
I0168,DL00820,temperatureissue,2024-12-13 20:11:00,high,closed,7.1,3
I0169,DL00443,customernoshow,2024-01-01 10:12:00,low,pendingvendor,9.1,1
I0170,DL00009,batteryalert,2024-04-12 22:24:00,medium,closed,7.4,2
I0171,DL00900,vehiclefault,2024-10-02 17:28:00,high,open,18.4,3
I0172,DL00508,routedeviation,2024-08-19 21:21:00,high,pendingvendor,4.3,3
I0173,DL00300,customernoshow,2024-09-25 14:37:00,medium,open,17.9,2
I0174,DL00882,batteryalert,2024-06-26 16:01:00,medium,closed,,2
I0175,DL00095,routedeviation,2024-01-08 02:06:00,medium,open,18.6,2
I0176,DL00262,vehiclefault,2025-04-09 22:47:00,high,closed,,3
I0177,DL00068,routedeviation,2024-02-19 18:08:00,critical,escalated,18.1,4
I0178,DL00500,customernoshow,2024-09-01 06:27:00,low,pendingvendor,20.1,1
I0179,DL00907,batteryalert,2024-04-17 03:46:00,low,closed,6.9,1
I0180,DL00001,proofmissing,2024-06-18 11:38:00,high,open,5.6,3
I0181,DL00254,customernoshow,2024-12-29 16:47:00,low,open,25.3,1
I0182,DL00476,appsyncerror,2024-05-06 01:19:00,medium,pendingvendor,10.3,2
I0183,DL00783,proofmissing,2025-02-20 01:08:00,low,closed,11.8,1
I0184,DL00688,batteryalert,2025-10-24 20:34:00,medium,open,7.2,2
I0185,DL00446,routedeviation,2025-10-21 03:58:00,high,closed,5.1,3
I0186,DL00933,proofmissing,2025-12-23 14:27:00,medium,open,16.3,2
I0187,DL00404,proofmissing,2024-04-03 05:29:00,high,closed,5.6,3
I0188,DL00274,batteryalert,2025-01-13 07:02:00,low,open,11.5,1
I0189,DL00596,routedeviation,2025-06-22 01:34:00,high,escalated,23.7,3
I0190,DL00804,proofmissing,2025-11-09 06:08:00,medium,closed,7.2,2
I0191,DL00358,appsyncerror,2025-11-22 03:12:00,medium,closed,12.9,2
I0192,DL00922,batteryalert,2024-03-08 22:15:00,medium,closed,0.1,2
I0193,DL00469,vehiclefault,2025-04-10 03:52:00,high,open,9.1,3
I0194,DL00455,customernoshow,2024-04-12 12:07:00,low,escalated,6.0,1
I0195,DL00810,temperatureissue,2025-03-09 20:27:00,medium,escalated,16.3,2
I0196,DL00013,vehiclefault,2025-01-26 10:52:00,medium,closed,0.2,2
I0197,DL00747,vehiclefault,2025-11-10 07:11:00,medium,pendingvendor,11.2,2
I0198,DL00765,proofmissing,2024-01-01 06:44:00,medium,open,3.1,2
I0199,DL00190,proofmissing,2025-11-01 01:32:00,medium,open,33.8,2
I0200,DL00938,temperatureissue,2024-04-04 05:43:00,low,pendingvendor,16.7,1
I0201,DL00170,routedeviation,2025-06-04 05:25:00,medium,pendingvendor,8.2,2
I0202,DL00661,proofmissing,2024-12-01 02:55:00,high,closed,5.0,3
I0203,DL00475,safetynearmiss,2024-06-03 11:44:00,medium,open,13.2,2
I0204,DL00553,appsyncerror,2024-07-03 17:43:00,low,open,27.4,1
I0205,DL00253,proofmissing,2024-09-30 08:49:00,low,closed,13.5,1
I0206,DL00331,appsyncerror,2025-11-23 23:51:00,low,escalated,9.2,1
I0207,DL00947,customernoshow,2024-10-25 17:54:00,low,open,14.7,1
I0208,DL00225,proofmissing,2025-10-05 23:13:00,medium,closed,,2
I0209,DL00434,proofmissing,2024-09-28 12:08:00,high,closed,2.3,3
I0210,DL00650,vehiclefault,2025-11-29 08:07:00,medium,open,4.0,2
I0211,DL00943,routedeviation,2024-03-17 18:41:00,low,escalated,11.6,1
I0212,DL00391,routedeviation,2024-11-05 08:57:00,medium,closed,2.3,2
I0213,DL00855,batteryalert,2025-01-08 14:27:00,medium,open,17.7,2
I0214,DL00928,appsyncerror,2025-10-30 23:54:00,high,closed,,3
I0215,DL00299,routedeviation,2024-04-29 23:25:00,critical,open,8.6,4
I0216,DL00094,batteryalert,2025-05-26 23:41:00,medium,closed,,2
I0217,DL00205,routedeviation,2024-09-18 00:46:00,low,closed,19.2,1
I0218,DL00463,batteryalert,2025-09-17 02:24:00,medium,pendingvendor,18.1,2
I0219,DL00739,appsyncerror,2025-11-03 12:11:00,medium,pendingvendor,5.5,2
I0220,DL00894,batteryalert,2025-11-18 13:08:00,medium,closed,12.7,2
I0221,DL00329,customernoshow,2025-10-01 22:29:00,critical,closed,3.2,4
I0222,DL00706,appsyncerror,2025-07-12 06:38:00,medium,pendingvendor,,2
I0223,DL00545,batteryalert,2024-06-16 08:16:00,high,escalated,17.3,3
I0224,DL00325,vehiclefault,2024-11-06 13:19:00,medium,open,8.4,2
I0225,DL00447,vehiclefault,2025-04-12 21:13:00,medium,pendingvendor,1.6,2
I0226,DL00248,temperatureissue,2025-08-22 18:22:00,low,closed,12.5,1
I0227,DL00139,vehiclefault,2025-08-05 04:36:00,low,open,7.1,1
I0228,DL00038,batteryalert,2025-10-26 18:53:00,medium,closed,11.8,2
I0229,DL00557,vehiclefault,2024-11-19 16:54:00,medium,pendingvendor,12.8,2
I0230,DL00578,temperatureissue,2024-02-21 09:47:00,medium,escalated,1.3,2
I0231,DL00272,customernoshow,2025-09-02 16:25:00,low,open,2.5,1
I0232,DL00464,temperatureissue,2024-05-02 18:19:00,medium,pendingvendor,29.3,2
I0233,DL00673,safetynearmiss,2024-09-29 11:20:00,high,pendingvendor,0.4,3
I0234,DL00194,customernoshow,2025-08-07 12:06:00,critical,closed,10.2,4
I0235,DL00339,appsyncerror,2025-06-22 12:40:00,high,open,2.1,3
I0236,DL00108,customernoshow,2024-11-08 05:01:00,low,closed,11.7,1
I0237,DL00397,proofmissing,2024-03-10 18:24:00,critical,closed,11.8,4
I0238,DL00336,safetynearmiss,2025-02-21 18:42:00,low,closed,4.0,1
I0239,DL00239,customernoshow,2024-08-14 12:07:00,medium,escalated,10.8,2
I0240,DL00213,customernoshow,2025-10-16 10:42:00,low,closed,14.9,1
I0241,DL00189,customernoshow,2024-11-05 13:46:00,high,escalated,21.0,3
I0242,DL00798,appsyncerror,2024-08-01 00:27:00,low,closed,16.5,1
I0243,DL00052,customernoshow,2025-05-06 14:07:00,medium,closed,25.6,2
I0244,DL00421,appsyncerror,2025-07-06 00:57:00,critical,closed,10.3,4
I0245,DL00347,proofmissing,2024-12-09 02:59:00,low,open,20.8,1
I0246,DL00720,temperatureissue,2025-10-13 23:28:00,high,escalated,8.2,3
I0247,DL00707,routedeviation,2025-11-12 10:47:00,critical,open,,4
I0248,DL00371,batteryalert,2024-03-31 09:36:00,high,open,18.5,3
I0249,DL00404,safetynearmiss,2024-04-03 04:11:00,medium,pendingvendor,6.4,2
I0250,DL00378,customernoshow,2025-05-14 02:12:00,high,closed,33.9,3
I0251,DL00135,customernoshow,2025-07-28 06:36:00,high,escalated,,3
I0252,DL00016,vehiclefault,2025-06-12 02:24:00,medium,pendingvendor,3.8,2
I0253,DL00388,proofmissing,2024-12-11 14:31:00,low,pendingvendor,21.0,1
I0254,DL00275,vehiclefault,2025-02-09 20:10:00,high,closed,23.6,3
I0255,DL00468,batteryalert,2025-04-20 07:56:00,high,escalated,22.9,3
I0256,DL00073,temperatureissue,2025-07-23 07:40:00,critical,closed,20.0,4
I0257,DL00075,vehiclefault,2024-08-06 06:54:00,medium,closed,3.0,2
I0258,DL00036,appsyncerror,2024-11-09 01:48:00,low,open,19.9,1
I0259,DL00703,proofmissing,2025-04-24 11:49:00,critical,open,9.6,4
I0260,DL00800,vehiclefault,2024-04-20 04:36:00,low,pendingvendor,6.1,1
I0261,DL00599,customernoshow,2025-02-20 09:24:00,critical,closed,19.0,4
I0262,DL00674,safetynearmiss,2024-01-16 07:01:00,low,open,6.5,1
I0263,DL00945,routedeviation,2025-01-24 07:15:00,low,closed,2.5,1
I0264,DL00772,vehiclefault,2024-10-24 07:59:00,high,escalated,21.2,3
I0265,DL00734,customernoshow,2025-01-20 01:08:00,high,open,2.1,3
I0266,DL00608,vehiclefault,2024-12-28 18:53:00,medium,open,4.9,2
I0267,DL00874,appsyncerror,2025-03-08 08:30:00,high,escalated,15.2,3
I0268,DL00108,routedeviation,2024-11-08 01:48:00,low,open,17.5,1
I0269,DL00153,routedeviation,2024-08-05 11:52:00,low,closed,23.3,1
I0270,DL00539,temperatureissue,2024-05-13 02:53:00,low,escalated,8.4,1
I0271,DL00755,routedeviation,2024-01-05 07:16:00,medium,open,,2
I0272,DL00050,batteryalert,2025-09-05 05:18:00,high,closed,20.3,3
I0273,DL00369,customernoshow,2024-02-12 23:47:00,medium,closed,15.8,2
I0274,DL00561,temperatureissue,2024-07-20 08:57:00,critical,closed,2.7,4
I0275,DL00804,routedeviation,2025-11-09 06:06:00,low,closed,16.9,1
I0276,DL00472,safetynearmiss,2025-12-01 22:02:00,high,pendingvendor,6.5,3
I0277,DL00116,customernoshow,2025-10-14 15:24:00,low,closed,18.1,1
I0278,DL00725,temperatureissue,2025-11-29 00:45:00,low,closed,17.8,1
I0279,DL00089,appsyncerror,2025-04-01 17:37:00,low,open,20.1,1
I0280,DL00219,batteryalert,2024-08-07 06:39:00,medium,pendingvendor,0.4,2
