delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_minutes,promised_window_hours,promised_window_minutes,is_delayed,is_failed,customer_id,service_type,order_created_at,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle,hub_name,zone,hub_type,capacity_score
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,ontime,6.01,2,0,3.96,11.52,124.51390211666667,6,360,0,0,C0578,business,2025-01-26 05:55:00,east,central,medium,80.04,web,0,63,ctr,sme,2024-06-01 14:06:00,74.1,46.0,app,active,riverside,contract,2,82.0,3.71,morning,1,cargovan,south,2025-09-30 12:01:00,87.3,145652,active,v2.1,0,West Gate,west,dispatch,69
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,ontime,16.46,0,0,3.67,11.74,490.7299283333333,12,720,0,0,C0153,passenger,2024-05-07 09:57:00,east,west,medium,61.87,app,0,49,ctr,sme,2024-09-10 22:33:00,38.4,51.1,app,active,east,parttime,10,67.6,4.62,morning,1,ev,riverside,2025-06-14 03:47:00,90.5,49711,active,v2.0,0,Central Core,central,control,88
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,ontime,26.58,3,0,4.47,21.64,568.9346772333333,12,720,0,0,C0479,retail,2024-08-16 19:48:00,airport,west,medium,71.08,app,1,48,north,enterprise,2025-08-03 11:26:00,59.1,53.9,app,active,west,fulltime,11,77.0,4.84,morning,1,ev,central,2024-06-09 16:18:00,78.4,29849,active,v2.2,0,West Gate,west,dispatch,69
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,ontime,18.25,1,0,5.0,12.61,184.0130043,6,360,0,0,C0006,passenger,2025-06-11 23:22:00,west,airport,high,76.75,phone,0,41,west,consumer,2024-03-29 13:26:00,39.9,43.3,web,active,west,fulltime,8,70.0,3.95,evening,1,hybrid,east,2025-08-24 05:20:00,58.5,172956,active,v1.9,1,Midtown Relay,central,charging,63
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,delayed,20.79,0,0,1.0,15.62,519.7014437666667,1,60,1,0,C0572,medical,2024-08-25 16:52:00,central,riverside,high,188.73,web,0,66,north,enterprise,2024-12-31 17:14:00,47.4,45.6,app,active,central,fulltime,4,42.4,3.94,evening,1,ev,riverside,2025-06-14 03:47:00,90.5,49711,active,v2.0,0,Central Core,central,control,88
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,ontime,16.35,4,0,4.97,13.97,474.68786805,6,360,1,0,C0336,parcel,2024-06-25 23:47:00,central,east,low,103.78,app,0,33,airport,consumer,2025-12-04 16:33:00,59.6,38.3,phone,dormant,north,parttime,4,84.9,3.15,night,0,hybrid,riverside,2024-06-07 13:21:00,,36310,active,v2.2,0,Airport Hub,airport,dispatch,71
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,ontime,24.31,0,0,4.15,12.61,101.6298568,4,240,0,0,C0478,medical,2025-03-29 10:44:00,north,north,low,54.41,web,0,43,north,consumer,2024-02-22 09:47:00,43.6,52.4,app,active,south,fulltime,13,74.1,4.42,evening,1,ev,west,2024-01-05 09:25:00,84.3,217057,active,v2.1,0,North Exchange,north,dispatch,82
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.916514,ontime,9.77,4,0,4.07,6.43,1260.8819419,24,1440,0,0,C0300,passenger,2025-04-24 11:49:00,central,north,medium,9.42,app,0,37,central,consumer,2025-03-14 08:54:00,65.2,36.6,app,active,north,fulltime,1,71.1,3.93,flexible,1,ev,west,2024-12-28 08:10:00,86.6,165481,active,v2.2,0,Midtown Relay,central,charging,63
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715444,failed,15.81,0,0,3.5,15.62,244.66192406666667,4,240,1,1,C0492,parcel,2025-08-23 21:51:00,east,central,medium,97.55,app,0,22,west,consumer,2024-06-24 04:22:00,60.0,65.6,phone,active,riverside,contract,4,84.3,4.17,morning,1,diesel,riverside,2025-12-21 04:26:00,74.1,43518,inrepair,v2.1,1,Riverside Hub,riverside,warehouse,66
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.392658,ontime,4.29,1,0,5.0,2.5,81.18987763333332,4,240,0,0,C0606,retail,2025-06-12 00:28:00,central,west,medium,69.17,app,0,68,south,consumer,2024-05-06 10:57:00,64.3,56.9,app,active,south,fulltime,5,82.2,4.06,morning,1,diesel,central,2025-06-22 17:38:00,83.0,71294,active,v2.2,0,Midtown Relay,central,charging,63
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601237,ontime,8.58,0,0,4.78,14.62,218.74335395,4,240,0,0,C0216,retail,2025-08-19 14:21:00,south,airport,medium,260.15,web,0,50,riverside,consumer,2024-02-26 02:42:00,51.9,85.2,app,active,north,fulltime,2,59.6,4.12,flexible,1,ev,north,2024-12-04 10:53:00,,130270,active,v2.0,0,South Link,south,dispatch,78
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665186,ontime,7.41,0,0,5.0,7.2,160.26108643333333,4,240,0,0,C0542,medical,2025-09-08 18:21:00,south,central,low,56.47,app,0,73,central,consumer,2025-08-29 08:39:00,40.7,62.9,phone,active,west,fulltime,8,71.2,3.64,evening,1,diesel,west,2025-12-29 15:01:00,69.7,73011,active,v2.1,1,West Gate,west,dispatch,69
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45.831712,failed,14.27,2,0,2.23,10.04,2312.763861866667,24,1440,1,1,C0480,passenger,2025-02-04 09:04:00,west,riverside,high,133.71,app,0,26,north,enterprise,2025-03-02 00:55:00,67.6,49.6,app,dormant,east,fulltime,15,88.2,4.24,evening,1,hybrid,east,2025-06-05 13:40:00,83.3,85635,active,v2.1,0,West Gate,west,dispatch,69
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30.937528,ontime,13.27,0,0,4.15,9.05,1253.5156254666665,24,1440,0,0,C0152,medical,2024-01-01 01:29:00,east,south,medium,19.26,web,0,61,west,consumer,2025-06-30 15:32:00,66.2,63.3,app,dormant,west,fulltime,6,75.0,4.25,morning,1,hybrid,north,2024-10-28 22:21:00,76.7,90558,scheduled,v2.2,0,South Link,south,dispatch,78
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,delayed,15.53,2,0,2.7,13.05,743.0065516666667,4,240,1,0,C0476,business,2024-11-12 14:07:00,south,north,critical,56.73,phone,0,59,north,consumer,2024-10-04 13:18:00,66.0,69.6,app,active,north,parttime,10,82.2,3.89,night,1,hybrid,south,2025-01-28 20:20:00,89.6,44499,scheduled,v2.1,0,Midtown Relay,central,charging,63
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12.494298,ontime,7.71,1,0,4.1,16.42,25.2082383,1,60,0,0,C0490,parcel,2024-06-16 18:40:00,west,north,medium,80.48,web,0,78,central,consumer,2025-08-09 19:59:00,44.0,48.3,web,active,west,fulltime,11,71.3,4.27,morning,1,hybrid,riverside,2024-06-28 15:49:00,97.5,73769,inrepair,v2.0,1,East Dock,east,warehouse,74
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,ontime,15.58,1,0,4.23,13.75,179.7724034,6,360,0,0,C0171,retail,2025-01-29 00:42:00,south,north,low,34.55,phone,0,47,south,consumer,2024-01-20 10:35:00,82.4,81.9,phone,active,north,fulltime,2,59.6,4.12,flexible,1,cargovan,north,2025-10-07 22:40:00,50.7,129032,inrepair,v2.1,1,Midtown Relay,central,charging,63
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25.201294,failed,11.72,0,1,4.13,18.12,2450.4200215666665,24,1440,1,1,C0338,medical,2024-11-17 13:40:00,riverside,central,critical,125.38,app,0,35,central,consumer,2024-10-04 07:24:00,58.0,89.2,app,dormant,east,parttime,3,88.2,3.67,morning,1,diesel,west,2024-04-12 02:10:00,85.5,32441,inrepair,v2.1,1,Airport Hub,airport,dispatch,71
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57.054608,delayed,14.68,0,0,4.4,9.44,1033.9509101333333,2,120,1,0,C0581,medical,2025-06-18 11:20:00,west,airport,critical,10.07,app,1,78,north,consumer,2024-09-27 00:03:00,48.1,68.4,app,dormant,south,fulltime,13,74.1,4.42,evening,1,ev,east,2025-03-22 01:17:00,85.1,63717,active,v2.1,0,West Gate,west,dispatch,69
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14.948650,ontime,22.05,0,0,4.96,14.78,261.24914416666667,6,360,0,0,C0473,business,2025-05-21 19:25:00,south,east,medium,142.68,app,0,72,airport,consumer,2025-07-17 04:40:00,39.8,78.2,web,active,east,fulltime,11,85.1,4.34,morning,1,cargovan,central,2025-03-16 12:29:00,81.6,68032,active,v2.1,0,Riverside Hub,riverside,warehouse,66
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12.967657,ontime,15.77,1,0,4.35,13.68,355.2161276166667,4,240,1,0,C0331,retail,2024-11-08 21:45:00,south,west,medium,35.54,app,0,58,riverside,consumer,2025-02-26 12:26:00,52.0,34.8,app,active,central,fulltime,5,81.4,4.45,morning,1,cargovan,north,2024-05-06 13:52:00,74.9,93084,active,v2.1,0,Airport Hub,airport,dispatch,71
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07.723523,ontime,23.49,1,0,4.21,11.21,1426.1287253833332,24,1440,0,0,C0482,retail,2025-05-15 01:52:00,east,central,low,62.26,web,0,73,riverside,enterprise,2025-02-04 23:25:00,74.8,54.1,web,active,west,fulltime,8,70.0,3.95,evening,1,hybrid,central,2024-05-12 02:12:00,58.9,52725,inrepair,v1.9,1,Central Core,central,control,88
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11.478296,failed,8.82,2,0,3.43,13.21,72.19130493333334,2,120,0,1,C0499,business,2025-10-26 12:56:00,south,south,medium,85.0,app,0,40,ctr,consumer,2025-10-13 12:05:00,55.9,74.5,app,active,ctr,fulltime,4,56.4,4.03,morning,1,ev,airport,2024-04-21 16:14:00,67.9,159368,inrepair,v2.2,1,South Link,south,dispatch,78
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45.664955,failed,17.13,1,0,2.51,16.3,744.7610825833333,4,240,1,1,C0504,passenger,2025-07-26 14:06:00,central,east,low,76.58,app,1,66,riverside,consumer,2025-04-29 05:36:00,51.7,85.1,app,active,north,fulltime,8,58.0,3.78,morning,1,ev,riverside,2025-05-24 09:58:00,94.2,210683,inrepair,v2.0,1,Midtown Relay,central,charging,63
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35.282288,failed,9.53,1,0,1.68,11.11,1166.5880381333334,4,240,1,1,C0619,retail,2025-02-01 07:06:00,riverside,north,low,229.93,app,0,48,north,consumer,2025-10-07 22:42:00,47.2,56.1,app,active,airport,parttime,12,74.3,3.7,night,1,diesel,north,2025-09-26 13:33:00,90.4,215767,inrepair,v2.1,1,West Gate,west,dispatch,69
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37.396269,failed,15.88,3,1,2.94,13.19,655.6232711499999,6,360,1,1,C0368,retail,2024-02-01 07:49:00,north,south,low,62.8,phone,1,23,north,consumer,2025-05-25 21:41:00,49.5,92.7,phone,active,central,fulltime,4,62.0,4.31,flexible,1,ev,riverside,2025-06-07 06:32:00,76.0,160770,inrepair,v2.0,1,Midtown Relay,central,charging,63
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,ontime,12.02,0,0,4.45,11.41,584.9055569,12,720,0,0,C0141,retail,2024-10-03 23:49:00,north,east,critical,78.93,app,0,37,west,consumer,2024-05-03 17:03:00,29.6,32.1,partner api,dormant,airport,contract,1,,4.36,morning,1,hybrid,riverside,2024-10-26 11:25:00,82.3,187051,scheduled,v2.1,0,North Exchange,north,dispatch,82
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28.589644,ontime,11.94,0,0,4.24,11.81,285.47649406666665,6,360,0,0,C0224,retail,2024-12-04 12:49:00,south,west,medium,27.48,phone,0,63,north,sme,2024-02-05 09:13:00,50.9,35.5,web,active,riverside,contract,7,40.6,4.1,morning,1,ev,east,2025-01-01 01:38:00,69.5,37024,inrepair,v1.9,1,Riverside Hub,riverside,warehouse,66
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42.900637,ontime,4.63,0,0,4.34,12.87,153.7150106166667,6,360,0,0,C0096,retail,2024-07-12 07:43:00,north,west,critical,32.27,app,0,73,west,consumer,2024-07-18 07:52:00,31.8,58.2,unknown,active,central,contract,14,41.4,4.0,morning,1,hybrid,riverside,2024-10-26 11:25:00,82.3,187051,scheduled,v2.1,0,North Exchange,north,dispatch,82
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01.572726,ontime,10.61,1,0,5.0,14.13,1231.0262121,24,1440,0,0,C0139,retail,2025-11-06 21:37:00,west,ctr,low,44.93,api,1,60,central,sme,2024-06-02 05:09:00,51.7,71.5,app,active,south,fulltime,13,74.1,4.42,evening,1,ev,north,2024-11-21 11:04:00,87.8,141107,active,v2.0,0,Midtown Relay,central,charging,63
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,ontime,5.53,2,0,3.09,11.27,1404.6898804500001,24,1440,0,0,C0633,parcel,2025-10-30 07:05:00,west,west,low,42.02,app,0,44,central,consumer,2025-12-14 02:47:00,57.6,56.5,partner api,active,riverside,contract,4,84.3,4.17,morning,1,ev,north,2024-07-11 13:31:00,95.8,101425,active,v1.9,0,Central Core,central,control,88
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2024-03-20 18:11:50.892104,delayed,7.37,0,0,3.33,14.67,271.8482017333333,4,240,1,0,C0273,passenger,2024-03-20 11:13:00,riverside,central,low,94.51,app,0,61,south,consumer,2025-06-12 09:29:00,23.8,56.7,app,active,north,fulltime,2,59.6,4.12,flexible,1,cargovan,central,2025-03-04 19:16:00,69.2,119136,scheduled,v2.0,1,Central Core,central,control,88
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,2024-09-29 07:46:30.295652,ontime,12.55,0,0,3.52,6.93,383.50492753333333,6,360,1,0,C0035,business,2024-09-28 22:50:00,south,airport,critical,46.37,app,0,22,east,consumer,2025-07-25 18:50:00,46.7,85.5,app,active,riverside,fulltime,12,68.0,4.46,night,1,diesel,riverside,2025-04-08 22:29:00,86.8,98363,scheduled,v2.1,0,South Link,south,dispatch,78
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2025-12-31 18:05:52.415764,ontime,8.02,0,0,4.31,14.59,38.873596066666664,4,240,0,0,C0378,passenger,2025-12-31 14:49:00,east,central,high,98.07,phone,0,38,riverside,consumer,2024-07-17 07:29:00,26.2,77.3,app,active,east,fulltime,12,88.1,4.08,night,1,hybrid,east,2025-06-05 13:40:00,83.3,85635,active,v2.1,0,Riverside Hub,riverside,warehouse,66
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,delayed,26.380000000000003,1,1,2.52,24.54,620.4217168166667,2,120,1,0,C0117,medical,2025-05-06 09:09:00,airport,riverside,high,129.89,app,0,32,north,consumer,2024-03-27 23:10:00,31.3,77.2,app,active,north,fulltime,12,93.6,3.84,morning,1,hybrid,riverside,2024-10-26 11:25:00,82.3,187051,scheduled,v2.1,0,Midtown Relay,central,charging,63
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2025-07-11 17:06:29.590655,ontime,14.14,0,0,3.63,10.32,1348.4931775833334,24,1440,0,0,C0558,retail,2025-07-10 16:13:00,riverside,central,high,228.25,web,0,23,south,consumer,2024-06-29 19:47:00,64.3,38.5,phone,active,west,parttime,14,73.8,4.57,flexible,1,hybrid,south,2024-09-06 02:11:00,65.8,92896,active,v2.0,1,North Exchange,north,dispatch,82
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,2025-02-14 20:37:54.180405,delayed,29.8,1,0,4.7,22.28,776.90300675,12,720,1,0,C0190,retail,2025-02-14 04:57:00,airport,riverside,low,70.39,app,1,39,airport,consumer,2024-05-04 14:00:00,61.6,84.8,app,active,north,fulltime,1,71.1,3.93,flexible,1,ev,airport,2025-12-01 18:20:00,100.0,117995,active,v2.2,0,North Exchange,north,dispatch,82
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,2025-04-29 04:45:04.624638,delayed,35.07,5,1,2.78,22.2,428.07707730000004,4,240,1,0,C0098,retail,2025-04-28 19:09:00,airport,west,low,93.02,app,0,54,central,consumer,2024-08-20 06:33:00,56.5,70.7,app,dormant,north,parttime,2,61.5,5.0,evening,0,diesel,riverside,2025-04-08 22:29:00,86.8,98363,scheduled,v2.1,0,West Gate,west,dispatch,69
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2024-10-22 22:00:19.303026,ontime,13.46,2,0,4.01,6.52,15.3217171,2,120,0,0,C0550,medical,2024-10-22 20:07:00,south,central,high,179.24,app,0,39,north,consumer,2025-01-03 14:35:00,89.4,52.4,app,active,north,contract,10,65.6,4.4,flexible,1,ev,west,2024-12-28 08:10:00,86.6,165481,active,v2.2,0,Midtown Relay,central,charging,63
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2024-12-09 20:18:39.821307,failed,10.91,0,0,1.22,6.59,565.66368845,4,240,1,1,C0448,retail,2024-12-09 08:39:00,east,central,medium,198.22,app,0,42,south,consumer,2024-09-08 16:33:00,69.3,62.1,app,active,north,parttime,14,71.4,3.44,flexible,1,ev,south,2025-04-23 19:27:00,67.6,116877,scheduled,v2.1,1,West Gate,west,dispatch,69
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2024-10-26 22:22:57.920354,ontime,15.33,0,0,5.0,7.95,216.96533923333334,4,240,0,0,C0559,medical,2024-10-26 17:41:00,east,central,medium,128.73,app,1,72,north,consumer,2024-02-19 09:52:00,72.0,64.4,partner api,active,north,parttime,15,90.5,4.07,morning,1,ev,ctr,2024-02-03 08:40:00,81.2,81518,active,v2.1,0,South Link,south,dispatch,78
DL00059,O00521,D027,V088,H05,2025-11-26 14:07:00,2025-11-26 18:49:47.422787,delayed,36.28,3,0,3.11,17.45,282.7903797833333,1,60,1,0,C0109,parcel,2025-11-26 12:07:00,airport,south,high,76.48,web,0,78,north,consumer,2025-10-30 11:51:00,52.7,25.4,app,dormant,airport,parttime,12,74.3,3.7,night,1,diesel,north,2024-02-14 14:03:00,80.3,50427,inrepair,v2.1,1,Central Core,central,control,88
DL00062,O00567,D061,V007,H02,2024-02-24 16:31:00,2024-02-25 15:31:54.277282,ontime,1.2,0,0,5.0,7.32,1380.9046213666666,24,1440,0,0,C0144,retail,2024-02-24 15:50:00,south,riverside,low,33.6,phone,0,54,south,consumer,2024-04-18 17:03:00,58.4,66.6,phone,active,riverside,contract,8,85.9,4.38,evening,1,diesel,airport,2025-09-17 08:52:00,68.6,78468,active,v2.2,1,South Link,south,dispatch,78
DL00063,O00931,D154,V094,H03,2024-03-07 11:20:00,2024-03-07 15:02:37.855092,ontime,15.95,0,0,5.0,14.6,222.6309182,4,240,0,0,C0213,parcel,2024-03-07 09:00:00,north,north,high,70.8,app,0,53,east,consumer,2024-02-25 04:00:00,94.2,53.3,app,active,airport,fulltime,4,67.0,4.35,evening,1,cargovan,central,2025-05-22 02:15:00,65.9,159262,scheduled,v1.9,1,East Dock,east,warehouse,74
DL00064,O01236,D075,V004,H03,2025-05-30 00:35:00,2025-05-30 23:36:22.924966,delayed,10.36,0,0,2.34,7.13,1381.3820827666668,12,720,1,0,C0543,business,2025-05-29 22:57:00,south,airport,low,156.71,app,0,20,riverside,consumer,2025-06-02 07:20:00,47.0,54.7,app,dormant,airport,fulltime,13,99.0,3.62,evening,1,hybrid,riverside,2024-06-07 13:21:00,,36310,active,v2.2,0,East Dock,east,warehouse,74
DL00066,O00568,D118,V083,H01,2025-12-19 20:41:00,2025-12-20 00:15:32.806881,ontime,22.39,0,0,4.03,18.25,214.54678135,6,360,0,0,C0412,passenger,2025-12-19 18:13:00,central,riverside,medium,119.95,phone,0,70,airport,consumer,2025-09-12 10:23:00,70.3,29.9,app,active,north,fulltime,1,80.6,4.88,night,1,cargovan,north,2024-04-11 18:04:00,79.3,42073,active,v2.2,0,North Exchange,north,dispatch,82
DL00067,O00842,D152,V023,H01,2025-07-04 04:43:00,2025-07-04 14:29:14.573095,ontime,12.34,1,0,4.61,11.04,586.2428849166666,12,720,0,0,C0588,retail,2025-07-04 02:45:00,central,east,low,153.82,web,0,47,riverside,sme,2025-06-28 00:25:00,34.8,62.6,web,active,north,parttime,5,,4.06,flexible,1,hybrid,east,2024-01-07 23:54:00,70.7,188387,active,v2.1,0,North Exchange,north,dispatch,82
DL00068,O00828,D104,V046,H08,2024-02-19 15:15:00,2024-02-21 03:47:37.311854,failed,19.75,1,0,3.73,16.14,2192.6218642333333,24,1440,1,1,C0025,passenger,2024-02-19 12:15:00,west,west,low,61.71,app,0,23,riverside,consumer,2025-04-09 11:19:00,55.5,52.8,app,active,west,fulltime,15,87.7,3.45,morning,1,ev,north,2024-07-11 13:31:00,95.8,101425,active,v1.9,0,Midtown Relay,central,charging,63
