complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,severity_score
CP0072,C0495,O00581,billing,app,medium,2025-12-10 05:52:00,open,9,20.18,2
CP0073,C0331,O00073,delay,app,medium,2025-04-07 04:59:00,awaitingcustomer,12,0.0,2
CP0074,C0475,O00268,delay,chatbot,high,2024-01-30 06:20:00,resolved,7,0.0,3
CP0075,C0071,O00974,delay,phone,low,2025-06-22 00:41:00,resolved,1,7.08,1
CP0076,C0028,O00290,missedpickup,chatbot,low,2024-09-26 22:30:00,open,15,0.0,1
CP0077,C0573,O00031,billing,email,high,2024-11-02 03:17:00,resolved,13,58.46,3
CP0078,C0261,O01162,appissue,email,low,2025-06-09 10:51:00,awaitingcustomer,1,18.23,1
CP0079,C0498,O00475,delay,chatbot,medium,2024-11-11 06:08:00,resolved,1,0.0,2
CP0080,C0201,O00789,driverbehaviour,app,medium,2024-12-20 10:30:00,resolved,6,18.79,2
CP0081,C0051,O01085,delay,app,medium,2024-06-25 08:05:00,open,1,19.53,2
CP0082,C0578,O00515,delay,app,medium,2024-02-06 10:24:00,escalated,7,10.81,2
CP0083,C0586,O00098,driverbehaviour,email,medium,2024-04-03 20:18:00,escalated,5,3.16,2
CP0084,C0647,O00272,driverbehaviour,chatbot,medium,2024-12-16 05:03:00,resolved,9,27.67,2
CP0085,C0622,O00190,delay,phone,low,2025-01-05 06:44:00,escalated,17,18.19,1
CP0086,C0627,O00496,supportexperience,phone,medium,2024-06-25 15:14:00,resolved,7,33.83,2
CP0087,C0321,O01020,missedpickup,phone,low,2024-11-03 02:18:00,resolved,6,13.46,1
CP0088,C0180,O00285,driverbehaviour,phone,high,2025-01-13 13:22:00,resolved,10,14.63,3
CP0089,C0296,O01224,appissue,email,low,2024-06-12 12:40:00,resolved,11,0.0,1
CP0090,C0123,O00333,missedpickup,phone,medium,2025-04-06 05:27:00,resolved,6,24.95,2
CP0091,C0331,O00652,delay,phone,medium,2024-11-13 21:45:00,resolved,4,0.0,2
CP0092,C0031,O00263,driverbehaviour,email,high,2024-03-02 02:04:00,escalated,12,46.65,3
CP0093,C0436,O00832,delay,app,medium,2024-06-11 14:01:00,resolved,2,16.98,2
CP0094,C0426,O00400,billing,chatbot,low,2025-07-01 06:33:00,resolved,12,10.94,1
CP0095,C0649,O01240,appissue,chatbot,high,2025-10-11 14:51:00,resolved,12,34.13,3
CP0096,C0001,O00007,appissue,app,high,2024-05-12 21:32:00,resolved,22,43.9,3
CP0097,C0282,O01227,driverbehaviour,app,medium,2024-11-07 10:32:00,escalated,15,27.94,2
CP0098,C0482,O00335,missedpickup,app,medium,2024-01-31 03:09:00,resolved,18,31.16,2
CP0099,C0110,O00574,appissue,email,medium,2024-05-04 02:42:00,awaitingcustomer,14,11.53,2
CP0100,C0078,O00476,damage,phone,high,2024-02-28 06:34:00,awaitingcustomer,25,42.71,3
CP0101,C0119,O00511,driverbehaviour,phone,medium,2024-06-17 09:58:00,resolved,8,0.0,2
CP0102,C0095,O00843,delay,chatbot,medium,2024-03-08 21:34:00,resolved,6,14.27,2
CP0103,C0378,O00443,appissue,chatbot,low,2025-10-23 00:06:00,resolved,11,11.6,1
CP0104,C0257,O00602,appissue,app,medium,2025-12-15 09:57:00,resolved,1,0.0,2
CP0105,C0538,O00129,missedpickup,chatbot,medium,2024-12-19 02:28:00,resolved,10,30.85,2
CP0106,C0595,O00145,appissue,chatbot,medium,2024-11-10 10:33:00,resolved,6,11.23,2
CP0107,C0396,O01024,delay,email,high,2025-12-23 16:37:00,escalated,7,33.22,3
CP0108,C0595,O00561,delay,chatbot,medium,2025-06-02 08:23:00,resolved,1,13.57,2
CP0109,C0626,O00314,missedpickup,email,high,2025-02-22 21:55:00,resolved,9,34.05,3
CP0110,C0564,O00950,appissue,phone,medium,2025-05-29 02:25:00,awaitingcustomer,8,12.12,2
CP0111,C0051,O00112,appissue,chatbot,medium,2024-09-17 07:03:00,resolved,5,12.4,2
CP0112,C0421,O00586,missedpickup,app,high,2024-04-09 07:09:00,awaitingcustomer,7,45.85,3
CP0113,C0174,O00227,missedpickup,app,low,2025-08-13 20:06:00,resolved,5,5.7,1
CP0114,C0480,O01104,missedpickup,phone,medium,2024-09-27 16:27:00,open,5,0.0,2
CP0115,C0369,O00709,missedpickup,phone,medium,2025-12-14 03:49:00,open,1,32.02,2
CP0116,C0287,O00178,damage,app,low,2024-03-31 19:55:00,escalated,3,18.49,1
CP0117,C0560,O00831,delay,phone,high,2025-03-07 08:02:00,resolved,11,35.62,3
CP0118,C0272,O00541,delay,chatbot,low,2024-11-11 02:46:00,awaitingcustomer,3,10.75,1
CP0119,C0142,O00795,delay,email,medium,2025-06-22 13:49:00,awaitingcustomer,12,0.0,2
CP0120,C0558,O00005,missedpickup,phone,medium,2025-02-25 19:32:00,resolved,8,54.41,2
CP0121,C0421,O00219,billing,phone,medium,2024-06-05 23:42:00,resolved,9,27.42,2
CP0122,C0619,O00919,appissue,email,high,2025-02-09 07:06:00,awaitingcustomer,9,35.13,3
CP0123,C0361,O01222,driverbehaviour,app,high,2025-09-20 01:14:00,resolved,23,33.77,3
CP0124,C0077,O00023,supportexperience,phone,low,2025-10-16 04:59:00,resolved,7,0.0,1
CP0125,C0647,O01036,appissue,app,low,2024-03-06 19:43:00,resolved,2,3.4,1
CP0126,C0093,O00369,delay,app,medium,2024-10-04 12:27:00,open,15,12.62,2
CP0127,C0368,O00737,appissue,app,medium,2024-03-17 03:53:00,resolved,6,1.15,2
CP0128,C0142,O00795,missedpickup,email,medium,2025-06-17 13:49:00,escalated,6,16.5,2
CP0129,C0476,O00686,delay,phone,medium,2025-01-13 12:20:00,resolved,4,21.23,2
CP0130,C0581,O00618,delay,email,high,2025-11-27 10:42:00,awaitingcustomer,12,24.38,3
CP0131,C0583,O00452,delay,email,high,2025-12-09 09:35:00,open,14,32.48,3
CP0132,C0552,O00368,appissue,phone,high,2024-12-10 22:26:00,resolved,6,41.06,3
CP0133,C0480,O01104,delay,app,high,2024-09-21 16:27:00,open,15,38.76,3
CP0134,C0325,O00167,delay,phone,low,2024-04-29 20:46:00,resolved,6,21.16,1
CP0135,C0610,O00782,delay,app,medium,2024-04-28 01:47:00,escalated,12,21.82,2
CP0136,C0412,O00711,delay,chatbot,low,2024-12-15 12:25:00,resolved,3,0.0,1
CP0137,C0549,O00838,driverbehaviour,app,medium,2025-02-04 00:04:00,resolved,1,14.08,2
CP0138,C0400,O00296,damage,phone,high,2024-01-18 17:30:00,escalated,6,31.84,3
CP0139,C0368,O00750,supportexperience,phone,high,2024-02-05 07:49:00,resolved,16,46.47,3
CP0140,C0177,O00062,missedpickup,email,high,2025-08-01 08:11:00,resolved,11,61.45,3
CP0141,C0591,O01046,driverbehaviour,app,medium,2026-01-07 11:24:00,resolved,6,11.71,2
CP0142,C0476,O00087,appissue,chatbot,low,2024-11-19 14:07:00,resolved,3,8.27,1
CP0143,C0508,O00717,supportexperience,phone,medium,2024-12-18 21:04:00,open,3,16.43,2
CP0144,C0078,O01121,delay,chatbot,high,2024-06-14 05:59:00,resolved,10,58.9,3
CP0145,C0436,O01065,appissue,email,low,2024-07-25 11:49:00,resolved,3,21.27,1
CP0146,C0001,O00666,delay,phone,medium,2025-09-01 20:17:00,resolved,4,0.0,2
CP0147,C0383,O01172,driverbehaviour,phone,high,2024-09-29 19:02:00,open,15,33.52,3
CP0148,C0189,O01232,damage,phone,medium,2024-01-22 20:35:00,escalated,9,11.0,2
CP0149,C0550,O00425,appissue,phone,medium,2024-11-27 08:15:00,resolved,10,38.03,2
CP0150,C0546,O00458,damage,app,high,2025-04-18 01:52:00,escalated,16,15.85,3
CP0151,C0574,O00729,missedpickup,phone,medium,2026-01-02 22:24:00,resolved,1,0.0,2
CP0152,C0023,O01101,delay,app,low,2024-01-16 06:59:00,resolved,14,27.41,1
CP0153,C0119,O00511,driverbehaviour,chatbot,medium,2024-06-18 09:58:00,resolved,8,20.06,2
CP0154,C0630,O00282,delay,app,medium,2024-01-28 04:13:00,open,7,0.0,2
CP0155,C0613,O00999,appissue,email,medium,2024-07-05 10:26:00,escalated,6,18.06,2
CP0156,C0372,O00943,appissue,chatbot,medium,2025-05-01 08:55:00,resolved,1,0.0,2
CP0157,C0169,O00998,appissue,app,low,2024-12-06 01:26:00,awaitingcustomer,2,31.26,1
CP0158,C0110,O01131,delay,app,low,2024-08-20 14:20:00,resolved,2,0.0,1
CP0159,C0372,O00348,delay,app,high,2025-03-16 22:06:00,escalated,15,34.82,3
CP0160,C0248,O01134,delay,phone,medium,2025-04-12 23:59:00,awaitingcustomer,9,25.69,2
CP0161,C0107,O01080,billing,email,high,2025-05-01 10:04:00,open,9,46.94,3
CP0162,C0138,O00801,missedpickup,phone,medium,2024-04-02 14:49:00,awaitingcustomer,6,22.27,2
CP0163,C0326,O00045,billing,app,medium,2024-02-19 18:38:00,open,3,11.17,2
CP0164,C0062,O00468,delay,chatbot,medium,2024-04-01 10:24:00,resolved,13,3.0,2
CP0165,C0161,O00003,appissue,phone,medium,2025-09-07 14:37:00,open,2,8.66,2
CP0166,C0465,O00910,driverbehaviour,phone,medium,2025-08-01 03:46:00,open,11,18.57,2
CP0167,C0578,O00837,damage,chatbot,low,2024-04-26 16:50:00,resolved,1,11.75,1
CP0168,C0628,O00752,driverbehaviour,email,medium,2025-06-01 08:27:00,resolved,10,30.4,2
CP0169,C0419,O00879,missedpickup,app,medium,2025-07-08 00:21:00,resolved,9,11.78,2
CP0170,C0242,O00512,driverbehaviour,app,high,2024-10-01 10:35:00,resolved,16,54.34,3
CP0171,C0020,O00880,appissue,phone,medium,2024-08-30 17:56:00,escalated,14,18.37,2
CP0172,C0629,O00216,delay,app,low,2025-05-20 10:14:00,resolved,11,0.0,1
CP0173,C0212,O00544,delay,app,medium,2024-06-25 19:25:00,resolved,3,52.43,2
CP0174,C0116,O00594,driverbehaviour,chatbot,high,2024-03-16 19:40:00,open,9,0.0,3
CP0175,C0317,O00551,damage,phone,low,2024-06-19 11:10:00,escalated,11,11.99,1
CP0176,C0073,O00309,delay,chatbot,medium,2025-10-20 11:57:00,resolved,6,36.04,2
CP0177,C0046,O00839,delay,chatbot,low,2024-02-09 17:41:00,resolved,2,14.06,1
CP0178,C0279,O01244,delay,phone,high,2025-03-14 06:32:00,resolved,10,0.0,3
CP0179,C0509,O00441,appissue,app,low,2025-04-12 12:25:00,resolved,1,16.17,1
CP0180,C0485,O00378,damage,chatbot,high,2024-04-07 19:50:00,escalated,18,38.34,3
CP0181,C0384,O00965,supportexperience,chatbot,medium,2024-10-04 14:59:00,open,3,31.97,2
CP0182,C0012,O01157,appissue,phone,low,2024-07-09 19:51:00,open,12,15.45,1
CP0183,C0122,O00259,supportexperience,chatbot,medium,2025-09-13 09:55:00,escalated,4,20.4,2
CP0184,C0025,O00161,missedpickup,phone,medium,2024-08-20 17:36:00,open,3,19.47,2
CP0185,C0100,O01151,missedpickup,email,medium,2024-07-03 12:48:00,resolved,6,5.59,2
CP0186,C0391,O00817,delay,app,medium,2026-01-02 07:45:00,awaitingcustomer,13,13.55,2
CP0187,C0259,O00351,delay,email,low,2024-04-27 03:31:00,escalated,10,1.93,1
CP0188,C0139,O00404,billing,phone,low,2025-10-19 20:55:00,resolved,7,8.19,1
CP0189,C0517,O00166,delay,chatbot,medium,2025-06-08 17:32:00,resolved,9,19.84,2
CP0190,C0138,O00801,damage,app,low,2024-03-31 14:49:00,awaitingcustomer,6,7.16,1
CP0191,C0358,O00840,delay,phone,medium,2024-04-07 16:35:00,open,11,14.02,2
CP0192,C0032,O00440,appissue,email,medium,2024-12-15 02:05:00,resolved,2,18.72,2
CP0193,C0612,O00467,delay,phone,medium,2024-10-13 16:16:00,awaitingcustomer,1,15.83,2
CP0194,C0172,O00330,missedpickup,app,medium,2025-04-11 06:37:00,resolved,1,6.47,2
CP0195,C0110,O01131,delay,phone,high,2024-08-18 14:20:00,open,8,32.61,3
CP0196,C0505,O01135,damage,phone,medium,2024-11-20 19:03:00,resolved,12,22.87,2
CP0197,C0611,O00128,delay,phone,medium,2026-01-04 13:56:00,awaitingcustomer,9,0.0,2
CP0198,C0621,O00609,delay,phone,medium,2024-09-17 07:15:00,resolved,2,8.38,2
CP0199,C0180,O01018,driverbehaviour,app,high,2024-03-04 13:58:00,awaitingcustomer,13,25.05,3
CP0200,C0256,O00267,driverbehaviour,phone,medium,2024-01-28 20:20:00,awaitingcustomer,1,8.85,2
CP0201,C0168,O00485,delay,chatbot,medium,2024-12-01 01:17:00,resolved,13,24.03,2
CP0202,C0422,O00529,missedpickup,phone,medium,2025-08-21 17:48:00,resolved,7,6.73,2
CP0203,C0279,O01030,driverbehaviour,phone,medium,2025-09-10 08:36:00,resolved,4,12.46,2
CP0204,C0140,O00720,delay,chatbot,medium,2024-08-30 18:27:00,open,4,0.0,2
CP0205,C0104,O01005,missedpickup,app,medium,2025-05-11 17:35:00,awaitingcustomer,5,20.67,2
CP0206,C0627,O01119,driverbehaviour,app,medium,2024-04-08 09:03:00,resolved,1,13.45,2
CP0207,C0173,O00792,appissue,email,low,2025-02-08 06:22:00,awaitingcustomer,12,0.0,1
CP0208,C0510,O01125,appissue,phone,high,2025-06-26 11:43:00,awaitingcustomer,20,26.22,3
CP0209,C0447,O00171,missedpickup,email,low,2025-05-08 02:08:00,escalated,7,9.0,1
CP0210,C0335,O00229,missedpickup,chatbot,medium,2024-09-11 04:43:00,resolved,10,28.12,2
CP0211,C0191,O00125,delay,app,low,2025-09-18 16:27:00,resolved,11,13.79,1
CP0212,C0095,O01064,missedpickup,app,medium,2025-12-27 18:49:00,resolved,3,19.18,2
CP0213,C0368,O00629,delay,email,medium,2024-10-11 05:44:00,awaitingcustomer,3,22.87,2
CP0214,C0145,O00048,missedpickup,app,high,2024-11-27 06:49:00,resolved,12,61.85,3
CP0215,C0533,O00927,supportexperience,chatbot,high,2025-05-17 03:53:00,resolved,15,29.11,3
CP0216,C0084,O00644,delay,app,medium,2025-11-04 08:47:00,resolved,4,32.45,2
CP0217,C0571,O00941,driverbehaviour,phone,medium,2024-08-18 12:54:00,resolved,1,6.19,2
CP0218,C0171,O01039,missedpickup,app,medium,2025-05-13 10:43:00,resolved,7,19.7,2
CP0219,C0232,O00540,delay,phone,medium,2024-07-03 03:50:00,resolved,6,22.23,2
CP0220,C0097,O00254,appissue,email,low,2024-09-25 17:01:00,awaitingcustomer,1,8.94,1
CP0221,C0032,O01034,delay,email,low,2025-06-24 08:43:00,resolved,11,8.34,1
CP0222,C0282,O00751,delay,email,low,2024-07-01 00:51:00,resolved,4,4.39,1
CP0223,C0529,O01136,delay,app,low,2024-04-25 14:05:00,resolved,6,2.44,1
CP0224,C0564,O00950,delay,chatbot,low,2025-05-22 02:25:00,resolved,14,25.81,1
CP0225,C0531,O00082,missedpickup,phone,medium,2024-07-30 03:44:00,open,11,20.66,2
CP0226,C0292,O01129,delay,chatbot,low,2025-03-26 15:04:00,resolved,1,6.68,1
CP0227,C0026,O00621,driverbehaviour,phone,medium,2025-05-17 19:01:00,resolved,8,9.16,2
CP0228,C0242,O00920,delay,email,medium,2024-08-02 11:42:00,open,8,8.1,2
CP0229,C0272,O00541,missedpickup,chatbot,low,2024-11-11 02:46:00,escalated,11,4.1,1
CP0230,C0054,O00445,appissue,app,low,2025-04-26 22:53:00,open,12,0.0,1
CP0231,C0639,O00774,missedpickup,phone,low,2025-09-22 23:01:00,open,1,20.06,1
CP0232,C0539,O00520,delay,email,low,2024-07-12 13:21:00,resolved,7,8.32,1
CP0233,C0339,O00884,missedpickup,email,medium,2024-04-24 01:52:00,resolved,3,10.05,2
CP0234,C0140,O00720,billing,app,high,2024-08-31 18:27:00,resolved,16,52.03,3
CP0235,C0611,O00632,delay,chatbot,medium,2024-08-09 21:40:00,resolved,3,32.8,2
CP0236,C0029,O00430,appissue,phone,medium,2025-01-17 01:45:00,resolved,11,7.71,2
CP0237,C0508,O01171,driverbehaviour,app,medium,2024-12-21 00:50:00,resolved,8,14.83,2
CP0238,C0014,O00731,missedpickup,phone,medium,2024-03-14 19:38:00,open,3,36.85,2
CP0239,C0213,O00931,missedpickup,app,high,2024-03-11 09:00:00,resolved,20,27.41,3
CP0240,C0428,O00220,driverbehaviour,chatbot,medium,2024-05-31 08:24:00,open,7,0.0,2
CP0241,C0351,O00989,delay,phone,high,2024-03-17 12:01:00,resolved,14,42.27,3
CP0242,C0345,O01211,appissue,chatbot,low,2025-11-18 07:13:00,open,7,2.97,1
CP0243,C0390,O00736,driverbehaviour,chatbot,medium,2024-01-26 22:33:00,escalated,3,23.87,2
CP0244,C0575,O01168,missedpickup,chatbot,low,2024-12-21 21:12:00,open,1,6.72,1
CP0245,C0646,O00385,appissue,phone,high,2025-11-02 15:32:00,resolved,17,16.36,3
CP0246,C0343,O00307,driverbehaviour,email,medium,2025-01-04 22:15:00,resolved,3,15.88,2
CP0247,C0269,O00573,appissue,email,medium,2024-04-30 09:36:00,resolved,3,14.92,2
CP0248,C0452,O00116,billing,phone,low,2025-03-16 15:46:00,open,5,1.45,1
CP0249,C0074,O00824,driverbehaviour,email,low,2024-08-21 20:47:00,open,5,10.32,1
CP0250,C0626,O00948,delay,email,medium,2025-05-17 03:07:00,escalated,1,0.0,2
CP0251,C0399,O00169,delay,chatbot,low,2025-12-04 12:34:00,resolved,4,0.0,1
CP0252,C0142,O00795,missedpickup,email,high,2025-06-19 13:49:00,resolved,13,42.64,3
CP0253,C0567,O00012,appissue,app,medium,2024-01-25 12:45:00,resolved,13,22.73,2
CP0254,C0072,O00626,supportexperience,chatbot,low,2025-01-06 12:54:00,awaitingcustomer,1,7.49,1
CP0255,C0004,O01153,delay,phone,low,2025-01-18 03:57:00,escalated,3,0.0,1
CP0256,C0191,O00125,appissue,app,medium,2025-09-21 16:27:00,resolved,3,24.06,2
CP0257,C0381,O00271,driverbehaviour,phone,low,2025-09-25 21:51:00,open,2,10.53,1
CP0258,C0013,O00531,supportexperience,app,medium,2025-05-06 08:49:00,open,16,9.98,2
CP0259,C0545,O00959,appissue,app,medium,2024-08-13 18:39:00,awaitingcustomer,12,14.36,2
CP0260,C0250,O00231,missedpickup,chatbot,high,2024-12-15 23:23:00,resolved,5,24.73,3
CP0261,C0566,O00249,appissue,email,high,2024-11-10 18:22:00,open,18,47.09,3
CP0262,C0491,O00438,appissue,chatbot,low,2026-01-06 18:23:00,resolved,8,29.25,1
CP0263,C0561,O00270,delay,phone,medium,2025-11-07 15:25:00,awaitingcustomer,3,27.52,2
CP0264,C0054,O01063,missedpickup,email,medium,2024-08-01 20:15:00,escalated,1,12.41,2
CP0265,C0115,O00336,driverbehaviour,chatbot,low,2024-01-10 04:58:00,escalated,7,14.36,1
CP0266,C0544,O00050,damage,app,high,2024-03-30 13:44:00,open,15,38.9,3
CP0267,C0521,O00111,driverbehaviour,app,medium,2025-07-25 11:53:00,awaitingcustomer,3,15.26,2
CP0268,C0445,O00675,appissue,app,medium,2024-02-27 17:22:00,open,14,37.15,2
CP0269,C0172,O00330,supportexperience,email,medium,2025-04-20 06:37:00,resolved,3,17.96,2
CP0270,C0208,O00636,billing,email,medium,2024-06-30 07:22:00,resolved,6,23.97,2
CP0271,C0573,O00393,delay,chatbot,high,2025-10-08 17:42:00,resolved,18,33.09,3
CP0272,C0208,O00771,delay,app,medium,2025-07-29 22:53:00,resolved,10,12.97,2
CP0273,C0010,O00481,delay,phone,medium,2025-04-20 22:35:00,resolved,10,15.73,2
CP0274,C0622,O00190,supportexperience,app,medium,2025-01-01 06:44:00,awaitingcustomer,7,0.0,2
CP0275,C0109,O00071,missedpickup,app,medium,2024-09-03 22:15:00,awaitingcustomer,10,18.13,2
CP0276,C0015,O01124,appissue,phone,high,2024-05-14 16:45:00,resolved,12,19.46,3
CP0277,C0444,O01088,missedpickup,app,high,2024-12-05 10:32:00,awaitingcustomer,7,46.17,3
CP0278,C0285,O00483,missedpickup,phone,medium,2024-11-27 00:34:00,escalated,7,12.14,2
CP0279,C0573,O00031,billing,app,medium,2024-10-27 03:17:00,resolved,1,19.87,2
CP0280,C0369,O00753,driverbehaviour,email,medium,2025-01-18 02:40:00,resolved,6,3.44,2
CP0281,C0510,O01125,missedpickup,chatbot,high,2025-06-25 11:43:00,resolved,11,44.57,3
CP0282,C0335,O00601,driverbehaviour,email,medium,2025-06-03 04:16:00,escalated,4,18.1,2
CP0283,C0252,O00401,driverbehaviour,email,high,2024-06-30 11:15:00,open,11,61.11,3
CP0284,C0211,O00545,appissue,phone,medium,2025-04-22 01:02:00,resolved,9,32.59,2
CP0285,C0172,O00773,missedpickup,app,high,2024-01-25 23:46:00,resolved,12,37.06,3
CP0286,C0015,O00873,driverbehaviour,app,high,2024-12-05 12:06:00,resolved,10,0.0,3
