customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
C0034,39,west,enterprise,2025-11-15 02:48:00,64.2,71.9,app,active
C0035,22,east,consumer,2025-07-25 18:50:00,46.7,85.5,app,active
C0036,36,airport,consumer,2024-11-17 10:44:00,66.4,30.7,app,active
C0037,51,ctr,sme,2024-12-24 19:31:00,72.9,73.0,phone,active
C0038,21,east,consumer,2025-08-16 14:04:00,34.8,75.8,app,active
C0039,32,central,consumer,2024-04-05 08:30:00,57.6,100.0,web,active
C0040,21,south,consumer,2025-12-14 21:04:00,32.9,59.1,app,active
C0041,67,west,sme,2024-03-03 23:44:00,83.5,54.9,app,active
C0042,24,east,consumer,2024-11-13 20:36:00,53.9,26.7,web,active
C0043,40,central,consumer,2025-11-28 14:18:00,35.8,40.8,web,active
C0044,47,east,consumer,2025-01-30 21:22:00,49.8,34.6,app,active
C0045,73,west,sme,2024-01-24 14:22:00,82.0,36.4,app,active
C0046,72,ctr,sme,2024-06-21 19:07:00,84.8,38.5,app,active
C0047,25,east,consumer,2025-05-20 01:13:00,81.3,26.5,app,active
C0048,19,riverside,sme,2024-10-21 04:47:00,48.5,53.8,app,active
C0049,31,south,consumer,2024-09-10 12:25:00,58.6,63.0,phone,active
C0050,71,central,consumer,2025-05-23 02:10:00,87.2,70.1,app,active
C0051,37,east,consumer,2025-04-04 12:35:00,49.3,53.8,app,active
C0052,56,east,consumer,2024-10-11 04:52:00,55.6,75.7,app,active
C0053,22,central,consumer,2025-03-16 17:17:00,45.7,75.9,phone,active
C0054,75,west,consumer,2025-12-24 13:22:00,42.4,26.8,web,active
C0055,34,east,enterprise,2025-11-30 12:14:00,80.3,50.5,app,suspended
C0056,54,north,consumer,2024-06-03 02:11:00,71.1,32.0,app,active
C0057,29,north,consumer,2024-06-03 07:42:00,68.2,37.1,web,active
C0058,37,central,sme,2024-08-26 00:31:00,59.6,59.2,app,active
C0059,26,west,consumer,2025-08-26 05:16:00,77.3,53.3,phone,active
C0060,52,central,consumer,2024-10-15 00:09:00,85.2,83.5,app,active
C0061,78,riverside,consumer,2025-03-05 17:23:00,60.9,94.6,web,dormant
C0062,33,central,consumer,2025-09-16 18:20:00,55.5,63.7,web,active
C0063,78,north,consumer,2024-05-08 22:54:00,44.6,52.1,partner api,active
C0064,58,east,consumer,2025-06-11 19:41:00,78.3,53.0,app,active
C0065,44,ctr,consumer,2025-11-23 23:03:00,52.8,55.6,web,active
C0066,21,south,consumer,2025-04-12 21:51:00,37.1,66.7,app,dormant
C0067,43,riverside,consumer,2025-07-26 12:25:00,56.7,41.9,web,dormant
C0068,46,riverside,consumer,2025-02-12 12:06:00,61.4,66.9,app,active
C0069,20,airport,sme,2025-05-08 20:25:00,74.3,51.2,phone,dormant
C0070,51,west,consumer,2024-03-04 06:04:00,77.1,75.9,app,active
C0071,59,airport,consumer,2024-08-01 14:10:00,49.3,81.7,phone,active
C0072,61,north,sme,2024-04-22 10:38:00,48.2,88.9,app,active
C0073,48,east,consumer,2024-02-23 03:00:00,55.7,52.9,phone,active
C0074,40,west,sme,2025-08-03 04:34:00,41.6,30.2,app,active
C0075,43,central,consumer,2024-04-13 11:39:00,59.2,23.9,app,active
C0076,70,west,enterprise,2024-01-27 02:55:00,68.4,50.3,app,active
C0077,59,north,sme,2024-07-31 19:24:00,61.7,29.0,web,active
C0078,40,east,consumer,2024-06-01 20:16:00,35.2,24.6,phone,active
C0079,61,east,consumer,2024-12-21 19:23:00,41.9,49.2,app,active
C0080,25,east,consumer,2025-04-30 03:07:00,81.6,37.2,app,active
C0081,42,south,consumer,2025-05-14 14:30:00,44.8,69.0,phone,active
C0082,49,east,consumer,2025-05-10 09:05:00,72.8,92.8,web,active
C0083,28,west,consumer,2024-05-27 03:47:00,71.1,51.7,app,dormant
C0084,33,airport,consumer,2024-12-16 23:16:00,55.8,61.9,web,active
C0085,76,airport,consumer,2025-05-05 22:10:00,45.0,26.0,app,active
C0086,65,west,sme,2025-06-12 00:13:00,64.4,59.5,app,active
C0087,49,west,consumer,2025-06-24 11:09:00,46.8,42.7,app,active
C0088,43,airport,enterprise,2025-12-07 17:58:00,58.2,35.2,app,active
C0089,40,riverside,consumer,2024-01-28 16:19:00,62.7,20.7,app,active
C0090,54,central,consumer,2025-10-20 02:44:00,49.5,86.5,app,active
C0091,40,airport,sme,2024-09-24 16:23:00,57.4,25.4,phone,active
C0092,49,riverside,consumer,2024-06-20 11:49:00,56.1,33.1,web,active
C0093,48,north,consumer,2024-08-16 17:34:00,41.2,56.3,app,active
C0094,22,riverside,consumer,2025-05-29 10:40:00,58.0,61.6,phone,active
C0095,23,south,sme,2024-08-16 19:51:00,50.8,61.7,app,suspended
C0096,73,west,consumer,2024-07-18 07:52:00,31.8,58.2,unknown,active
C0097,46,airport,sme,2025-02-14 23:51:00,55.6,39.2,web,active
C0098,54,central,consumer,2024-08-20 06:33:00,56.5,70.7,app,dormant
C0099,33,north,consumer,2025-05-19 11:46:00,51.3,59.8,phone,active
C0100,34,ctr,consumer,2024-01-30 00:50:00,28.0,28.6,web,active
C0101,63,north,enterprise,2024-10-13 15:16:00,73.4,86.6,app,active
C0102,39,east,enterprise,2024-07-17 22:38:00,71.9,49.7,app,active
C0103,20,airport,consumer,2024-12-18 14:51:00,71.4,74.2,web,active
C0104,39,east,consumer,2024-12-23 11:05:00,66.2,28.6,app,active
C0105,47,central,enterprise,2024-08-13 03:14:00,40.9,33.6,app,active
C0106,22,ctr,consumer,2025-04-26 06:21:00,63.0,45.3,app,active
C0107,64,airport,consumer,2024-07-28 15:39:00,46.2,43.1,phone,dormant
C0108,39,central,consumer,2025-09-16 00:30:00,96.0,75.5,app,active
C0109,78,north,consumer,2025-10-30 11:51:00,52.7,25.4,app,dormant
C0110,63,east,consumer,2025-10-20 02:53:00,59.6,59.4,phone,active
C0111,67,west,consumer,2025-11-07 03:58:00,36.2,37.0,app,active
C0112,25,north,consumer,2025-02-01 22:48:00,42.1,66.1,app,active
C0113,38,west,consumer,2024-07-23 15:56:00,52.4,60.2,web,active
C0114,38,central,consumer,2024-07-01 13:50:00,72.2,45.8,app,active
C0115,38,airport,consumer,2025-10-13 10:05:00,69.8,98.5,web,active
C0116,64,riverside,consumer,2025-02-09 14:25:00,65.6,55.5,web,active
C0117,32,north,consumer,2024-03-27 23:10:00,31.3,77.2,app,active
C0118,20,south,consumer,2024-06-23 04:01:00,79.1,31.1,app,active
C0119,65,central,sme,2024-06-03 18:57:00,46.2,54.0,web,dormant
C0120,26,north,consumer,2025-04-21 20:09:00,86.8,58.0,app,active
C0121,25,south,consumer,2025-09-18 19:30:00,90.9,59.0,phone,active
C0122,40,central,consumer,2025-11-04 11:09:00,74.2,49.8,web,active
C0123,56,south,sme,2025-07-15 17:08:00,76.8,40.6,app,active
C0124,31,airport,consumer,2024-01-22 00:51:00,40.8,1.0,web,active
C0125,31,airport,consumer,2025-10-27 03:33:00,99.0,45.6,web,active
C0126,42,north,consumer,2024-05-22 13:55:00,64.5,39.0,app,active
C0127,32,west,sme,2024-07-18 06:01:00,77.0,51.5,web,active
C0128,34,airport,sme,2024-09-14 06:18:00,47.3,72.7,app,active
C0129,24,riverside,consumer,2025-05-28 07:48:00,60.0,98.6,app,active
C0130,46,south,consumer,2025-08-23 10:16:00,42.0,66.6,app,active
C0131,68,south,consumer,2025-07-11 13:53:00,57.2,75.8,web,active
C0132,56,riverside,consumer,2024-05-14 01:58:00,61.2,68.4,app,active
C0133,74,riverside,consumer,2024-12-28 14:42:00,65.1,70.3,web,active
C0134,22,south,sme,2025-08-20 16:26:00,83.3,67.7,app,active
C0135,65,west,consumer,2025-05-28 04:34:00,68.7,51.6,app,active
C0136,64,ctr,consumer,2024-06-04 16:32:00,64.9,50.4,unknown,active
C0137,57,airport,consumer,2024-01-20 14:49:00,61.6,62.9,app,active
C0138,74,south,consumer,2024-07-06 19:00:00,93.2,90.8,web,active
C0139,60,central,sme,2024-06-02 05:09:00,51.7,71.5,app,active
C0140,21,airport,consumer,2025-04-29 19:46:00,80.0,87.2,partner api,active
C0141,37,west,consumer,2024-05-03 17:03:00,29.6,32.1,partner api,dormant
C0142,29,south,consumer,2024-11-29 21:33:00,47.0,61.7,app,active
C0143,48,north,consumer,2025-06-27 17:30:00,59.6,64.3,phone,active
C0144,54,south,consumer,2024-04-18 17:03:00,58.4,66.6,phone,active
C0145,34,airport,consumer,2024-09-11 06:17:00,99.0,30.6,unknown,active
C0146,20,north,consumer,2024-02-13 03:32:00,99.0,21.7,app,active
C0147,28,north,enterprise,2025-04-08 17:01:00,36.7,16.4,app,active
C0148,26,east,sme,2024-03-05 14:20:00,43.9,49.2,app,active
C0149,63,north,consumer,2025-09-19 16:38:00,58.7,100.0,app,active
C0150,58,north,consumer,2025-06-08 06:44:00,88.8,60.9,app,active
C0151,20,north,consumer,2024-10-10 14:32:00,79.2,33.8,app,suspended
C0152,61,west,consumer,2025-06-30 15:32:00,66.2,63.3,app,dormant
C0153,49,ctr,sme,2024-09-10 22:33:00,38.4,51.1,app,active
C0154,23,east,sme,2024-09-22 17:57:00,47.5,60.1,phone,active
C0155,24,north,consumer,2024-07-26 14:08:00,18.1,48.3,app,active
C0156,26,east,sme,2025-03-02 03:25:00,59.6,32.3,web,active
C0157,50,central,consumer,2025-03-28 10:04:00,67.9,46.8,app,active
C0158,57,riverside,consumer,2025-11-18 07:27:00,73.7,70.5,web,active
C0159,37,riverside,consumer,2024-03-15 06:42:00,40.2,62.7,web,dormant
C0160,57,south,consumer,2024-11-06 03:57:00,62.8,80.2,phone,suspended
C0161,42,north,consumer,2024-06-07 22:41:00,87.1,36.6,app,active
C0162,61,airport,enterprise,2025-11-07 11:09:00,63.7,76.9,web,suspended
C0163,55,riverside,sme,2024-09-16 04:29:00,56.2,58.2,app,active
C0164,78,west,consumer,2024-08-12 23:06:00,70.9,60.8,app,active
C0165,39,airport,consumer,2025-02-11 15:10:00,69.5,80.8,app,active
C0166,66,airport,consumer,2025-11-14 07:10:00,62.4,54.7,unknown,active
C0167,72,ctr,consumer,2025-12-24 13:32:00,52.5,62.0,app,active
C0168,70,riverside,consumer,2025-02-17 10:26:00,54.3,69.4,web,active
C0169,77,north,consumer,2024-07-19 11:20:00,59.6,69.6,app,dormant
C0170,51,south,sme,2024-04-04 23:23:00,52.3,72.8,partner api,active
C0171,47,south,consumer,2024-01-20 10:35:00,82.4,81.9,phone,active
C0172,28,north,consumer,2025-04-14 14:45:00,75.4,67.4,unknown,active
C0173,76,riverside,consumer,2024-01-19 12:21:00,78.5,49.1,app,suspended
C0174,74,north,consumer,2025-06-13 19:18:00,93.5,100.0,app,active
C0175,37,central,consumer,2025-06-08 02:07:00,86.4,56.9,app,active
C0176,43,north,sme,2024-08-22 03:05:00,83.8,64.7,web,active
C0177,39,east,consumer,2024-09-28 08:02:00,67.0,43.4,app,suspended
C0178,45,east,consumer,2024-07-04 08:48:00,58.0,16.1,phone,active
C0179,38,south,consumer,2024-05-12 13:54:00,97.9,42.8,app,active
C0180,64,west,consumer,2025-11-23 08:25:00,50.3,58.9,phone,active
C0181,41,west,consumer,2024-06-01 17:58:00,51.2,67.7,app,dormant
C0182,21,east,enterprise,2025-06-11 18:31:00,47.2,58.2,app,dormant
C0183,44,ctr,sme,2025-12-18 10:05:00,64.5,72.8,app,active
C0184,59,south,sme,2024-10-12 01:51:00,67.8,76.5,app,active
C0185,40,south,consumer,2025-12-05 05:27:00,77.5,76.4,phone,suspended
C0186,56,east,consumer,2024-03-15 08:01:00,57.5,57.8,phone,dormant
C0187,47,east,sme,2025-10-11 02:51:00,59.6,59.3,web,active
C0188,44,south,sme,2024-09-23 02:38:00,66.2,53.6,app,active
C0189,48,riverside,consumer,2024-08-15 02:16:00,76.6,41.1,app,active
C0190,39,airport,consumer,2024-05-04 14:00:00,61.6,84.8,app,active
C0191,27,north,consumer,2024-12-13 17:26:00,58.9,34.1,web,active
C0192,45,east,consumer,2024-10-01 19:08:00,70.1,56.4,app,active
C0193,20,south,consumer,2024-02-14 16:45:00,84.0,62.1,app,active
C0194,57,west,sme,2024-09-01 03:10:00,60.0,17.1,app,dormant
C0195,41,south,consumer,2024-09-25 01:11:00,38.3,71.9,web,active
C0196,72,west,enterprise,2024-07-25 09:40:00,52.0,51.1,web,active
C0197,29,riverside,consumer,2024-11-08 16:48:00,58.4,62.0,app,active
C0198,53,east,sme,2024-07-29 09:28:00,32.2,51.5,app,active
C0199,64,central,consumer,2025-05-27 21:11:00,73.4,28.6,phone,active
C0200,36,central,consumer,2024-10-04 11:51:00,48.8,61.5,phone,active
C0201,49,ctr,consumer,2024-01-19 08:02:00,69.2,59.8,app,active
C0202,50,north,consumer,2024-01-16 00:46:00,64.2,76.7,unknown,dormant
C0203,33,ctr,consumer,2025-06-01 17:12:00,59.6,66.8,app,active
C0204,78,riverside,consumer,2025-06-10 15:15:00,87.1,25.8,app,active
C0205,62,central,consumer,2025-04-02 03:42:00,52.1,78.7,web,active
C0206,60,south,sme,2025-10-27 13:42:00,50.3,72.9,app,active
C0207,54,central,consumer,2025-05-21 17:53:00,65.7,72.4,app,active
C0208,48,central,enterprise,2025-02-06 16:19:00,74.5,67.0,phone,dormant
C0209,33,central,consumer,2025-12-05 06:14:00,61.0,44.4,app,dormant
C0210,33,north,consumer,2024-12-16 06:53:00,45.3,67.9,app,active
C0211,29,riverside,enterprise,2025-12-24 23:40:00,72.1,50.9,web,active
C0212,27,riverside,consumer,2024-05-23 12:22:00,70.7,100.0,web,dormant
C0213,53,east,consumer,2024-02-25 04:00:00,94.2,53.3,app,active
C0214,34,central,consumer,2024-03-13 20:47:00,57.5,36.7,app,active
C0215,67,north,sme,2024-09-18 13:10:00,64.4,51.4,app,active
C0216,50,riverside,consumer,2024-02-26 02:42:00,51.9,85.2,app,active
C0217,30,airport,consumer,2025-01-25 16:42:00,37.2,47.0,web,active
C0218,32,central,consumer,2024-10-15 19:15:00,62.2,11.4,app,active
C0219,29,ctr,consumer,2025-12-10 09:02:00,74.6,85.7,web,active
C0220,47,south,sme,2025-04-15 05:10:00,44.8,64.0,web,dormant
C0221,53,east,consumer,2024-10-02 14:00:00,50.2,48.4,app,active
C0222,36,south,sme,2024-09-26 11:21:00,42.2,71.4,web,active
C0223,34,central,sme,2025-07-14 10:15:00,59.6,40.3,app,active
C0224,63,north,sme,2024-02-05 09:13:00,50.9,35.5,web,active
C0225,39,riverside,sme,2024-12-31 05:00:00,70.3,75.9,app,active
C0226,74,west,consumer,2024-12-09 12:05:00,47.2,48.0,web,active
C0227,69,west,consumer,2025-05-01 08:32:00,62.2,67.9,app,active
C0228,43,north,sme,2025-11-02 06:15:00,51.0,58.1,app,active
C0229,52,central,consumer,2025-05-31 00:05:00,23.4,73.7,web,active
C0230,70,airport,consumer,2024-09-27 02:09:00,62.2,59.9,web,active
C0231,28,central,sme,2025-02-13 18:02:00,69.4,18.9,app,active
C0232,45,south,sme,2025-02-07 00:19:00,27.7,70.8,app,active
C0233,75,airport,consumer,2024-11-07 20:14:00,58.2,48.8,partner api,active
C0234,71,north,consumer,2024-03-27 18:33:00,54.1,74.6,app,active
C0235,35,airport,enterprise,2024-06-07 21:57:00,43.7,60.0,phone,active
C0236,25,central,sme,2025-09-02 12:48:00,57.0,84.9,app,active
C0237,40,south,consumer,2024-11-29 23:31:00,30.0,51.8,web,active
C0238,56,west,consumer,2024-06-02 09:46:00,65.0,18.7,app,active
C0239,65,central,sme,2025-09-25 20:09:00,80.0,51.7,app,suspended
C0240,78,south,sme,2024-02-14 22:57:00,40.8,67.6,web,active
C0241,45,airport,consumer,2025-06-09 20:27:00,60.0,51.3,app,active
C0242,21,east,consumer,2025-12-18 16:08:00,83.8,48.9,web,active
C0243,31,riverside,consumer,2025-06-20 16:36:00,63.0,85.8,phone,suspended
C0244,27,airport,consumer,2024-01-17 21:37:00,52.7,54.9,phone,active
C0245,43,north,consumer,2025-12-29 21:44:00,46.4,77.8,app,active
C0246,32,central,consumer,2025-10-20 07:05:00,63.8,60.6,phone,active
C0247,31,east,consumer,2024-02-01 01:08:00,58.9,30.3,web,active
C0248,59,central,consumer,2025-10-14 11:06:00,71.1,39.9,app,active
C0249,26,west,consumer,2025-01-20 14:35:00,36.7,51.8,phone,dormant
C0250,58,west,sme,2024-02-21 20:01:00,59.6,63.6,app,suspended
C0251,56,riverside,consumer,2025-10-03 17:43:00,54.5,42.4,app,active
C0252,38,north,consumer,2024-09-07 15:16:00,71.3,30.9,app,active
C0253,48,west,consumer,2024-01-04 14:51:00,49.4,38.5,app,active
C0254,57,east,consumer,2024-03-12 23:59:00,40.2,47.8,unknown,active
C0255,38,north,consumer,2025-05-30 17:05:00,51.9,40.9,phone,active
C0256,58,ctr,sme,2025-11-06 16:04:00,45.7,46.7,phone,active
C0257,34,west,consumer,2025-04-30 08:51:00,55.0,93.1,app,active
C0258,50,riverside,consumer,2024-03-17 08:15:00,71.4,63.1,partner api,active
C0259,43,central,consumer,2024-07-29 07:47:00,78.3,42.2,app,dormant
C0260,21,east,consumer,2025-10-27 14:31:00,64.3,57.5,app,active
C0261,39,riverside,consumer,2025-01-26 02:30:00,52.4,87.7,web,active
C0262,23,north,consumer,2025-12-01 09:49:00,53.8,70.0,app,active
C0263,73,north,consumer,2024-02-17 19:40:00,59.6,55.8,app,active
C0264,51,central,consumer,2025-10-20 06:04:00,79.2,32.0,app,active
C0265,26,east,consumer,2025-09-06 04:21:00,55.8,25.4,app,active
C0266,47,east,consumer,2024-09-17 20:47:00,59.0,51.2,app,active
C0267,31,riverside,consumer,2025-12-10 09:39:00,49.0,55.7,web,active
C0268,65,east,enterprise,2025-08-04 04:00:00,64.3,26.8,app,active
C0269,74,riverside,enterprise,2025-05-08 01:31:00,76.3,32.3,app,active
C0270,64,central,sme,2024-10-02 21:06:00,14.5,56.9,phone,suspended
C0271,66,east,consumer,2025-12-09 06:43:00,65.1,15.5,web,active
C0272,57,north,consumer,2025-05-16 09:45:00,52.2,24.9,app,active
C0273,61,south,consumer,2025-06-12 09:29:00,23.8,56.7,app,active
C0274,66,riverside,sme,2025-04-22 14:49:00,66.0,68.3,phone,active
C0275,56,east,consumer,2024-05-01 17:12:00,59.6,63.7,app,active
C0276,47,south,consumer,2024-11-15 02:59:00,66.9,76.6,app,active
C0277,51,south,consumer,2025-04-29 00:18:00,39.1,87.6,app,dormant
C0278,30,riverside,sme,2025-04-14 02:52:00,95.2,74.7,unknown,suspended
C0279,75,south,consumer,2025-06-02 14:17:00,62.8,52.6,web,active
C0280,58,airport,sme,2025-01-31 06:58:00,55.5,98.2,phone,active
C0281,74,north,consumer,2024-08-03 02:37:00,85.4,89.7,phone,active
C0282,29,riverside,consumer,2024-04-02 04:47:00,71.4,75.6,web,active
C0283,19,west,sme,2025-06-20 08:23:00,74.3,42.3,app,active
C0284,39,north,consumer,2024-05-15 19:52:00,79.6,65.4,app,active
C0285,45,riverside,consumer,2025-10-08 16:17:00,27.9,18.0,phone,active
C0286,59,east,consumer,2024-04-25 22:23:00,87.7,51.5,web,active
C0287,46,ctr,consumer,2024-08-24 15:57:00,55.4,10.5,web,active
C0288,51,west,consumer,2025-05-12 12:01:00,65.6,49.8,phone,active
C0289,19,north,sme,2024-06-11 00:31:00,75.8,77.3,app,active
C0290,30,north,consumer,2025-11-28 14:25:00,49.6,58.2,phone,dormant
C0291,43,north,enterprise,2024-11-05 23:09:00,66.1,88.6,web,active
C0292,24,south,consumer,2025-03-02 11:24:00,73.2,57.9,app,active
C0293,65,north,consumer,2024-11-19 03:53:00,60.3,59.8,web,active
C0294,53,north,consumer,2024-12-05 00:20:00,68.9,52.2,app,active
C0295,77,riverside,consumer,2024-12-12 12:07:00,35.3,68.0,app,active
C0296,28,north,enterprise,2024-07-19 22:00:00,41.9,57.3,phone,active
C0297,72,west,consumer,2024-10-23 08:23:00,42.6,80.8,partner api,active
C0298,63,north,consumer,2024-03-07 12:24:00,66.9,88.6,app,dormant
C0299,43,south,consumer,2025-08-26 02:23:00,99.0,65.1,app,active
C0300,37,central,consumer,2025-03-14 08:54:00,65.2,36.6,app,active
C0301,40,riverside,sme,2024-02-19 08:06:00,58.6,68.6,phone,dormant
C0302,35,west,consumer,2024-02-22 21:18:00,60.0,83.8,app,active
C0303,66,north,consumer,2025-10-12 04:15:00,76.7,70.4,web,active
C0304,56,riverside,consumer,2024-09-29 13:32:00,72.4,63.6,phone,active
C0305,72,north,consumer,2024-11-19 06:49:00,42.7,75.9,app,active
C0306,47,east,sme,2025-01-17 13:56:00,77.3,83.1,phone,active
C0307,77,west,consumer,2024-01-30 20:25:00,60.6,8.4,app,active
C0308,50,riverside,consumer,2025-07-21 17:13:00,74.1,87.0,web,active
C0309,78,airport,sme,2024-03-23 01:59:00,29.0,72.8,app,active
C0310,24,ctr,sme,2025-02-24 14:39:00,36.1,67.3,app,active
C0311,75,east,consumer,2024-05-21 20:55:00,70.5,47.5,web,active
C0312,78,airport,enterprise,2024-10-20 15:03:00,32.2,62.4,app,active
C0313,34,airport,consumer,2025-07-17 04:10:00,67.2,69.7,phone,active
C0314,74,riverside,sme,2025-04-28 13:21:00,66.4,29.9,phone,active
C0315,31,central,sme,2024-10-15 09:16:00,63.3,72.3,app,active
C0316,32,north,consumer,2025-10-30 08:25:00,66.7,59.5,app,active
C0317,19,south,consumer,2025-11-02 07:19:00,65.2,86.0,app,dormant
C0318,48,west,consumer,2025-05-09 17:42:00,68.2,71.0,app,dormant
C0319,35,west,sme,2025-02-07 03:10:00,54.5,54.8,web,dormant
C0320,52,airport,consumer,2025-10-20 05:04:00,60.6,59.2,app,active
C0321,51,south,consumer,2024-07-31 16:57:00,99.0,70.3,partner api,active
C0322,77,ctr,consumer,2025-05-24 17:14:00,79.2,60.9,app,active
C0323,69,east,consumer,2025-04-08 10:48:00,70.8,68.6,app,active
C0324,18,airport,sme,2025-04-05 13:08:00,67.3,44.6,app,active
C0325,37,south,consumer,2025-07-14 06:15:00,49.4,34.4,app,active
C0326,60,west,consumer,2024-04-02 05:21:00,64.6,47.3,unknown,active
C0327,46,north,consumer,2025-07-23 02:20:00,57.0,31.0,app,suspended
C0328,23,south,consumer,2024-09-01 11:16:00,76.1,43.4,phone,suspended
C0329,38,riverside,consumer,2025-08-06 06:56:00,46.4,64.9,phone,active
C0330,37,east,sme,2024-01-21 23:55:00,23.2,27.1,app,active
C0331,58,riverside,consumer,2025-02-26 12:26:00,52.0,34.8,app,active
C0332,19,west,consumer,2025-06-20 06:24:00,72.1,72.1,phone,active
C0333,76,north,consumer,2024-10-03 10:48:00,99.0,48.1,phone,active
C0334,63,airport,consumer,2024-03-04 15:17:00,59.6,57.9,app,dormant
C0335,33,north,sme,2025-08-11 11:08:00,45.3,34.6,app,active
C0336,33,airport,consumer,2025-12-04 16:33:00,59.6,38.3,phone,dormant
C0337,71,north,consumer,2025-10-06 06:05:00,45.8,52.4,web,active
C0338,35,central,consumer,2024-10-04 07:24:00,58.0,89.2,app,dormant
C0339,27,south,consumer,2025-02-13 20:28:00,46.6,66.6,app,active
C0340,43,east,consumer,2025-03-18 09:54:00,34.7,26.3,app,active
C0341,51,riverside,consumer,2024-01-23 04:02:00,68.1,66.7,phone,dormant
C0342,20,west,consumer,2025-03-11 22:48:00,64.1,75.7,app,active
C0343,75,central,consumer,2025-04-29 18:31:00,58.3,71.3,web,active
C0344,56,central,consumer,2024-01-01 02:25:00,66.5,34.9,app,active
C0345,18,north,consumer,2025-06-24 14:28:00,93.5,56.9,web,active
C0346,46,airport,consumer,2024-09-11 03:14:00,62.9,98.5,app,dormant
C0347,18,riverside,enterprise,2024-06-07 04:33:00,54.9,40.4,web,dormant
C0348,26,north,consumer,2025-11-29 03:52:00,74.9,64.5,app,active
C0349,24,west,enterprise,2025-12-18 20:54:00,34.7,43.9,phone,active
C0350,46,south,consumer,2025-04-13 02:35:00,73.1,34.0,partner api,active
C0351,66,central,enterprise,2024-02-10 00:50:00,48.6,49.9,app,active
C0352,46,north,consumer,2024-05-08 07:36:00,47.9,77.7,app,active
C0353,50,west,consumer,2024-02-08 20:45:00,62.8,80.2,phone,dormant
C0354,35,airport,consumer,2024-11-07 04:40:00,87.8,41.4,app,active
C0355,39,central,consumer,2024-09-14 16:40:00,49.1,49.2,app,active
C0356,51,north,consumer,2025-03-23 22:48:00,76.2,41.3,web,active
C0357,25,airport,consumer,2024-04-24 03:04:00,67.0,18.7,app,active
C0358,22,south,consumer,2024-11-03 16:37:00,38.7,69.7,web,active
C0359,23,airport,consumer,2024-07-15 12:16:00,75.7,87.8,app,active
C0360,78,west,consumer,2024-08-16 19:00:00,47.8,86.7,phone,active
C0361,65,south,consumer,2024-01-11 17:19:00,59.6,49.3,web,active
C0362,55,ctr,consumer,2025-04-16 08:20:00,48.3,83.4,app,active
C0363,48,airport,sme,2025-10-22 07:30:00,49.4,78.9,web,active
C0364,67,ctr,consumer,2025-06-22 07:35:00,70.5,51.8,partner api,active
C0365,47,riverside,consumer,2024-09-09 00:26:00,49.3,58.1,app,suspended
C0366,70,south,consumer,2025-12-22 20:19:00,59.6,51.2,phone,dormant
