complaint_id,customer_id_x,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,severity_score,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,customer_id_y,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
CP0011,C0618,O00437,delay,app,medium,2025-09-29 06:54:00,open,15,19.97,2,64,airport,consumer,2024-09-01 12:58:00,68.4,72.1,phone,active,C0618,retail,2025-09-25 06:54:00,4,airport,riverside,medium,98.88,app,0
CP0012,C0362,O00504,appissue,email,high,2024-09-20 22:57:00,resolved,12,33.8,3,55,ctr,consumer,2025-04-16 08:20:00,48.3,83.4,app,active,C0362,parcel,2024-09-20 22:57:00,2,ctr,east,low,47.18,app,0
CP0013,C0157,O00008,missedpickup,phone,medium,2024-04-08 17:54:00,resolved,8,15.77,2,50,central,consumer,2025-03-28 10:04:00,67.9,46.8,app,active,C0157,parcel,2024-04-03 17:54:00,4,riverside,riverside,medium,35.06,phone,0
CP0014,C0545,O00980,billing,chatbot,medium,2024-11-30 23:02:00,resolved,14,7.08,2,18,south,consumer,2024-07-05 12:10:00,66.9,72.4,app,active,C0545,parcel,2024-11-25 23:02:00,4,west,riverside,medium,510.06,app,0
CP0015,C0486,O00417,delay,chatbot,low,2025-01-18 15:33:00,open,4,0.0,1,50,west,enterprise,2025-01-08 14:49:00,52.5,76.4,app,active,C0486,retail,2025-01-10 15:33:00,4,south,riverside,low,113.56,,0
CP0016,C0234,O00013,missedpickup,app,medium,2024-03-30 22:11:00,resolved,10,0.0,2,71,north,consumer,2024-03-27 18:33:00,54.1,74.6,app,active,C0234,retail,2024-03-29 22:11:00,24,airport,central,medium,302.7,app,0
CP0017,C0346,O01181,delay,phone,medium,2024-03-06 23:10:00,resolved,1,1.16,2,46,airport,consumer,2024-09-11 03:14:00,62.9,98.5,app,dormant,C0346,retail,2024-02-23 23:10:00,6,west,east,high,95.57,app,0
CP0018,C0100,O01151,missedpickup,chatbot,medium,2024-07-05 12:48:00,resolved,1,9.39,2,34,ctr,consumer,2024-01-30 00:50:00,28.0,28.6,web,active,C0100,retail,2024-06-26 12:48:00,12,south,north,medium,94.09,app,0
CP0019,C0228,O00702,appissue,app,medium,2025-01-07 19:23:00,resolved,1,19.24,2,43,north,sme,2025-11-02 06:15:00,51.0,58.1,app,active,C0228,retail,2024-12-28 19:23:00,4,east,riverside,critical,77.66,app,0
CP0020,C0371,O01043,driverbehaviour,phone,high,2024-08-04 17:26:00,resolved,11,33.27,3,57,east,consumer,2025-01-14 07:31:00,28.5,74.9,app,active,C0371,retail,2024-07-31 17:26:00,12,central,riverside,medium,93.72,phone,1
CP0021,C0354,O00353,delay,chatbot,medium,2024-01-09 05:14:00,resolved,5,26.95,2,35,airport,consumer,2024-11-07 04:40:00,87.8,41.4,app,active,C0354,business,2024-01-03 05:14:00,4,west,airport,low,135.85,phone,0
CP0022,C0516,O00117,damage,chatbot,low,2024-06-18 09:38:00,awaitingcustomer,10,15.62,1,49,ctr,consumer,2025-03-11 12:42:00,88.9,50.3,web,active,C0516,passenger,2024-06-10 09:38:00,12,east,south,medium,87.81,phone,0
CP0023,C0193,O00953,driverbehaviour,app,low,2025-04-03 01:07:00,resolved,14,0.93,1,20,south,consumer,2024-02-14 16:45:00,84.0,62.1,app,active,C0193,parcel,2025-03-26 01:07:00,12,south,south,medium,3.57,app,0
CP0024,C0519,O00677,appissue,chatbot,medium,2024-03-11 05:19:00,escalated,9,0.0,2,64,east,enterprise,2024-01-04 19:31:00,56.4,56.2,phone,active,C0519,passenger,2024-03-04 05:19:00,4,east,west,high,79.31,web,0
CP0025,C0617,O00654,delay,app,medium,2025-06-19 21:03:00,resolved,4,11.64,2,59,north,enterprise,2025-02-02 10:38:00,56.5,83.6,app,active,C0617,parcel,2025-06-18 21:03:00,24,ctr,airport,high,47.22,app,0
CP0026,C0408,O00810,supportexperience,app,medium,2024-04-16 03:37:00,resolved,13,18.44,2,44,airport,consumer,2025-10-02 12:02:00,52.2,51.0,web,active,C0408,parcel,2024-04-16 03:37:00,12,north,south,high,129.12,app,0
CP0027,C0626,O00948,delay,email,low,2025-05-19 03:07:00,resolved,1,2.18,1,45,south,consumer,2025-08-01 05:09:00,61.6,6.0,phone,active,C0626,business,2025-05-14 03:07:00,6,north,west,low,60.77,app,0
CP0028,C0242,O00920,delay,phone,medium,2024-08-02 11:42:00,resolved,1,13.31,2,21,east,consumer,2025-12-18 16:08:00,83.8,48.9,web,active,C0242,passenger,2024-08-01 11:42:00,12,riverside,east,low,74.71,app,0
CP0029,C0477,O00715,missedpickup,chatbot,medium,2025-06-27 13:42:00,resolved,9,4.01,2,53,south,sme,2025-11-14 09:26:00,62.2,80.4,partner api,active,C0477,medical,2025-06-17 13:42:00,6,riverside,north,critical,125.92,app,0
CP0030,C0529,O00682,delay,email,high,2024-10-07 09:57:00,escalated,22,34.84,3,41,riverside,sme,2025-06-07 02:03:00,43.2,51.5,app,active,C0529,retail,2024-10-05 09:57:00,2,north,ctr,low,97.9,phone,0
CP0031,C0618,O00886,billing,phone,medium,2024-12-11 11:04:00,escalated,2,30.35,2,64,airport,consumer,2024-09-01 12:58:00,68.4,72.1,phone,active,C0618,passenger,2024-12-11 11:04:00,1,east,central,low,88.24,app,1
CP0032,C0185,O00051,billing,phone,medium,2025-02-14 23:39:00,resolved,7,7.09,2,40,south,consumer,2025-12-05 05:27:00,77.5,76.4,phone,suspended,C0185,business,2025-02-07 23:39:00,12,airport,east,critical,14.48,web,1
CP0033,C0489,O00848,missedpickup,app,medium,2025-06-13 14:13:00,resolved,8,34.92,2,49,south,consumer,2025-10-18 12:05:00,65.9,85.5,app,active,C0489,business,2025-06-03 14:13:00,6,north,south,high,27.71,,1
CP0034,C0070,O00105,driverbehaviour,app,medium,2024-07-13 20:33:00,awaitingcustomer,1,4.09,2,51,west,consumer,2024-03-04 06:04:00,77.1,75.9,app,active,C0070,passenger,2024-07-09 20:33:00,4,north,east,high,18.19,web,0
CP0035,C0206,O00650,delay,email,low,2025-10-03 10:28:00,resolved,5,0.0,1,60,south,sme,2025-10-27 13:42:00,50.3,72.9,app,active,C0206,parcel,2025-09-30 10:28:00,6,riverside,airport,low,39.65,app,0
CP0036,C0282,O00751,delay,app,medium,2024-07-08 00:51:00,awaitingcustomer,2,42.3,2,29,riverside,consumer,2024-04-02 04:47:00,71.4,75.6,web,active,C0282,business,2024-06-26 00:51:00,4,north,west,medium,152.61,phone,0
CP0037,C0561,O00270,missedpickup,chatbot,medium,2025-11-05 15:25:00,awaitingcustomer,18,7.33,2,65,east,consumer,2025-10-16 18:59:00,70.9,54.3,app,active,C0561,business,2025-10-26 15:25:00,4,west,central,medium,140.61,app,1
CP0038,C0562,O00175,delay,chatbot,medium,2025-12-19 19:13:00,resolved,1,19.48,2,56,west,consumer,2025-11-10 10:46:00,47.9,88.0,phone,active,C0562,business,2025-12-19 19:13:00,4,riverside,west,high,150.9,app,0
CP0039,C0231,O00797,delay,email,high,2025-03-28 04:08:00,resolved,14,24.39,3,28,central,sme,2025-02-13 18:02:00,69.4,18.9,app,active,C0231,passenger,2025-03-23 04:08:00,4,riverside,riverside,medium,47.39,app,1
CP0040,C0512,O00300,delay,email,high,2024-04-11 00:39:00,resolved,9,0.0,3,59,east,consumer,2025-02-03 19:29:00,38.5,70.2,web,active,C0512,retail,2024-04-02 00:39:00,4,riverside,south,low,33.34,app,1
CP0041,C0146,O00744,missedpickup,chatbot,medium,2025-04-27 03:30:00,open,9,30.4,2,20,north,consumer,2024-02-13 03:32:00,99.0,21.7,app,active,C0146,retail,2025-04-23 03:30:00,6,east,riverside,low,33.49,api,1
CP0042,C0361,O00094,supportexperience,email,medium,2024-10-06 03:41:00,resolved,4,26.2,2,65,south,consumer,2024-01-11 17:19:00,59.6,49.3,web,active,C0361,parcel,2024-09-27 03:41:00,6,airport,north,medium,62.08,phone,0
CP0043,C0497,O00411,appissue,app,medium,2025-04-16 21:05:00,resolved,11,15.35,2,65,north,consumer,2024-02-14 15:20:00,48.8,51.9,app,active,C0497,business,2025-04-08 21:05:00,4,central,central,medium,71.11,app,0
CP0044,C0549,O00838,missedpickup,email,high,2025-01-28 00:04:00,resolved,11,25.0,3,54,airport,consumer,2025-06-27 01:40:00,42.2,72.5,app,active,C0549,passenger,2025-01-25 00:04:00,6,ctr,central,low,48.73,web,0
CP0045,C0599,O00421,driverbehaviour,email,medium,2025-07-24 06:00:00,awaitingcustomer,6,8.74,2,40,north,consumer,2025-05-04 22:34:00,81.4,44.4,app,active,C0599,parcel,2025-07-23 06:00:00,24,riverside,east,medium,37.25,app,0
CP0046,C0269,O00573,missedpickup,email,high,2024-04-27 09:36:00,resolved,9,60.3,3,74,riverside,enterprise,2025-05-08 01:31:00,76.3,32.3,app,active,C0269,retail,2024-04-22 09:36:00,4,central,central,high,150.38,app,0
CP0047,C0012,O01157,appissue,phone,medium,2024-07-09 19:51:00,resolved,11,19.21,2,60,airport,consumer,2025-02-10 01:14:00,46.3,74.4,app,active,C0012,parcel,2024-07-08 19:51:00,1,riverside,east,high,123.37,web,0
CP0048,C0393,O00576,missedpickup,phone,high,2024-09-14 19:49:00,resolved,22,22.5,3,42,east,consumer,2025-06-21 23:29:00,57.6,53.8,app,active,C0393,retail,2024-09-06 19:49:00,6,south,south,medium,113.92,app,0
CP0049,C0146,O00126,driverbehaviour,email,medium,2024-05-27 09:04:00,resolved,4,19.76,2,20,north,consumer,2024-02-13 03:32:00,99.0,21.7,app,active,C0146,parcel,2024-05-26 09:04:00,12,airport,south,medium,55.22,web,0
CP0050,C0163,O00955,driverbehaviour,phone,high,2025-01-11 14:30:00,resolved,14,37.36,3,55,riverside,sme,2024-09-16 04:29:00,56.2,58.2,app,active,C0163,passenger,2025-01-04 14:30:00,4,central,west,low,50.43,,0
CP0051,C0274,O00863,appissue,phone,medium,2025-09-22 18:41:00,resolved,2,3.9,2,66,riverside,sme,2025-04-22 14:49:00,66.0,68.3,phone,active,C0274,passenger,2025-09-17 18:41:00,12,riverside,west,low,29.36,phone,0
CP0052,C0157,O00115,supportexperience,app,low,2024-02-25 06:31:00,escalated,3,0.0,1,50,central,consumer,2025-03-28 10:04:00,67.9,46.8,app,active,C0157,passenger,2024-02-21 06:31:00,6,east,north,high,256.93,web,0
CP0053,C0543,O01236,supportexperience,phone,high,2025-05-29 22:57:00,resolved,13,26.07,3,20,riverside,consumer,2025-06-02 07:20:00,47.0,54.7,app,dormant,C0543,business,2025-05-29 22:57:00,12,south,airport,low,156.71,app,0
CP0054,C0224,O00453,delay,app,medium,2024-12-07 12:49:00,resolved,1,36.38,2,63,north,sme,2024-02-05 09:13:00,50.9,35.5,web,active,C0224,retail,2024-12-04 12:49:00,6,south,west,medium,27.48,phone,0
CP0055,C0186,O00836,missedpickup,chatbot,high,2025-09-23 16:20:00,resolved,14,60.3,3,56,east,consumer,2024-03-15 08:01:00,57.5,57.8,phone,dormant,C0186,passenger,2025-09-22 16:20:00,6,south,north,low,45.9,app,1
CP0056,C0368,O00737,delay,email,low,2024-03-20 03:53:00,open,9,7.02,1,23,north,consumer,2025-05-25 21:41:00,49.5,92.7,phone,active,C0368,retail,2024-03-14 03:53:00,2,central,central,medium,117.82,web,1
CP0057,C0191,O00125,delay,app,medium,2025-09-23 16:27:00,resolved,5,24.91,2,27,north,consumer,2024-12-13 17:26:00,58.9,34.1,web,active,C0191,retail,2025-09-17 16:27:00,24,west,south,medium,70.05,app,0
CP0058,C0271,O00056,supportexperience,app,medium,2025-10-09 20:28:00,escalated,1,10.06,2,66,east,consumer,2025-12-09 06:43:00,65.1,15.5,web,active,C0271,parcel,2025-10-05 20:28:00,4,south,central,high,160.35,web,0
CP0059,C0351,O00603,delay,email,high,2024-03-04 23:29:00,resolved,11,59.75,3,66,central,enterprise,2024-02-10 00:50:00,48.6,49.9,app,active,C0351,parcel,2024-02-24 23:29:00,24,west,riverside,medium,66.39,app,0
CP0060,C0490,O00869,missedpickup,app,low,2024-03-05 05:39:00,resolved,4,0.0,1,78,central,consumer,2025-08-09 19:59:00,44.0,48.3,web,active,C0490,parcel,2024-02-26 05:39:00,4,central,riverside,medium,59.8,app,1
CP0061,C0545,O00980,driverbehaviour,phone,medium,2024-12-07 23:02:00,awaitingcustomer,11,52.16,2,18,south,consumer,2024-07-05 12:10:00,66.9,72.4,app,active,C0545,parcel,2024-11-25 23:02:00,4,west,riverside,medium,510.06,app,0
CP0062,C0162,O00367,delay,email,low,2025-07-16 09:35:00,resolved,14,0.0,1,61,airport,enterprise,2025-11-07 11:09:00,63.7,76.9,web,suspended,C0162,passenger,2025-07-11 09:35:00,4,south,north,high,46.71,phone,0
CP0063,C0164,O01219,billing,app,high,2025-06-28 09:52:00,escalated,10,51.86,3,78,west,consumer,2024-08-12 23:06:00,70.9,60.8,app,active,C0164,passenger,2025-06-20 09:52:00,4,north,riverside,high,81.91,api,0
CP0064,C0215,O00311,appissue,chatbot,high,2024-11-30 00:06:00,resolved,5,47.81,3,67,north,sme,2024-09-18 13:10:00,64.4,51.4,app,active,C0215,medical,2024-11-27 00:06:00,12,central,south,high,167.59,phone,0
CP0065,C0162,O00367,appissue,email,low,2025-07-23 09:35:00,resolved,5,18.74,1,61,airport,enterprise,2025-11-07 11:09:00,63.7,76.9,web,suspended,C0162,passenger,2025-07-11 09:35:00,4,south,north,high,46.71,phone,0
CP0066,C0552,O00741,appissue,email,medium,2025-06-11 01:28:00,resolved,10,25.09,2,41,north,consumer,2024-04-17 08:34:00,62.4,68.2,app,active,C0552,retail,2025-05-30 01:28:00,6,airport,north,low,72.44,app,1
CP0067,C0599,O00954,missedpickup,app,low,2024-07-22 02:17:00,resolved,6,0.0,1,40,north,consumer,2025-05-04 22:34:00,81.4,44.4,app,active,C0599,passenger,2024-07-14 02:17:00,4,south,south,critical,62.7,web,0
CP0068,C0166,O00743,damage,app,low,2024-02-13 01:34:00,resolved,10,0.0,1,66,airport,consumer,2025-11-14 07:10:00,62.4,54.7,unknown,active,C0166,retail,2024-02-03 01:34:00,2,east,south,medium,92.51,web,0
CP0069,C0583,O00163,delay,chatbot,medium,2025-06-20 18:36:00,resolved,4,35.96,2,23,airport,consumer,2024-12-24 19:41:00,84.2,66.2,app,dormant,C0583,parcel,2025-06-09 18:36:00,4,central,north,low,67.97,phone,1
CP0070,C0255,O00206,delay,phone,medium,2025-12-20 14:25:00,escalated,7,28.5,2,38,north,consumer,2025-05-30 17:05:00,51.9,40.9,phone,active,C0255,parcel,2025-12-10 14:25:00,4,south,east,low,20.86,app,1
CP0071,C0092,O00870,delay,chatbot,medium,2024-11-05 14:16:00,awaitingcustomer,10,17.48,2,49,riverside,consumer,2024-06-20 11:49:00,56.1,33.1,web,active,C0092,passenger,2024-10-27 14:16:00,12,south,airport,high,144.13,web,0
CP0072,C0495,O00581,billing,app,medium,2025-12-10 05:52:00,open,9,20.18,2,20,ctr,consumer,2025-01-27 15:48:00,65.3,33.3,app,dormant,C0495,passenger,2025-12-09 05:52:00,12,north,south,low,138.33,app,0
CP0073,C0331,O00073,delay,app,medium,2025-04-07 04:59:00,awaitingcustomer,12,0.0,2,58,riverside,consumer,2025-02-26 12:26:00,52.0,34.8,app,active,C0331,passenger,2025-03-31 04:59:00,4,ctr,south,high,30.82,app,0
CP0074,C0475,O00268,delay,chatbot,high,2024-01-30 06:20:00,resolved,7,0.0,3,47,central,consumer,2024-06-16 12:44:00,81.9,37.5,app,active,C0475,medical,2024-01-29 06:20:00,4,west,west,medium,71.4,app,1
CP0075,C0071,O00974,delay,phone,low,2025-06-22 00:41:00,resolved,1,7.08,1,59,airport,consumer,2024-08-01 14:10:00,49.3,81.7,phone,active,C0071,retail,2025-06-11 00:41:00,4,east,riverside,medium,74.02,app,0
CP0076,C0028,O00290,missedpickup,chatbot,low,2024-09-26 22:30:00,open,15,0.0,1,22,ctr,consumer,2024-11-03 16:31:00,78.5,79.6,app,active,C0028,medical,2024-09-21 22:30:00,2,central,west,high,54.76,app,0
CP0077,C0573,O00031,billing,email,high,2024-11-02 03:17:00,resolved,13,58.46,3,47,airport,sme,2025-02-27 18:19:00,57.3,74.4,app,active,C0573,passenger,2024-10-25 03:17:00,24,east,airport,medium,55.14,app,0
CP0078,C0261,O01162,appissue,email,low,2025-06-09 10:51:00,awaitingcustomer,1,18.23,1,39,riverside,consumer,2025-01-26 02:30:00,52.4,87.7,web,active,C0261,passenger,2025-06-09 10:51:00,2,riverside,east,medium,89.31,api,0
CP0079,C0498,O00475,delay,chatbot,medium,2024-11-11 06:08:00,resolved,1,0.0,2,73,west,enterprise,2024-02-24 19:59:00,73.4,45.1,app,active,C0498,passenger,2024-11-08 06:08:00,24,central,west,high,156.78,app,0
CP0080,C0201,O00789,driverbehaviour,app,medium,2024-12-20 10:30:00,resolved,6,18.79,2,49,ctr,consumer,2024-01-19 08:02:00,69.2,59.8,app,active,C0201,business,2024-12-11 10:30:00,6,central,riverside,high,163.0,app,1
CP0081,C0051,O01085,delay,app,medium,2024-06-25 08:05:00,open,1,19.53,2,37,east,consumer,2025-04-04 12:35:00,49.3,53.8,app,active,C0051,medical,2024-06-15 08:05:00,6,central,west,high,150.85,app,0
CP0082,C0578,O00515,delay,app,medium,2024-02-06 10:24:00,escalated,7,10.81,2,63,ctr,sme,2024-06-01 14:06:00,74.1,46.0,app,active,C0578,retail,2024-02-03 10:24:00,6,north,north,medium,65.74,phone,0
CP0083,C0586,O00098,driverbehaviour,email,medium,2024-04-03 20:18:00,escalated,5,3.16,2,47,central,consumer,2024-09-11 05:57:00,87.4,66.2,app,active,C0586,passenger,2024-04-03 20:18:00,1,north,south,medium,79.53,phone,0
CP0084,C0647,O00272,driverbehaviour,chatbot,medium,2024-12-16 05:03:00,resolved,9,27.67,2,42,east,consumer,2024-10-16 01:45:00,59.6,76.1,app,active,C0647,retail,2024-12-11 05:03:00,24,riverside,central,medium,55.63,app,0
CP0085,C0622,O00190,delay,phone,low,2025-01-05 06:44:00,escalated,17,18.19,1,22,riverside,consumer,2024-01-28 13:46:00,54.2,26.8,phone,dormant,C0622,parcel,2024-12-28 06:44:00,1,south,north,medium,31.72,phone,0
CP0086,C0627,O00496,supportexperience,phone,medium,2024-06-25 15:14:00,resolved,7,33.83,2,54,airport,consumer,2024-02-03 00:07:00,53.8,57.9,phone,active,C0627,passenger,2024-06-17 15:14:00,4,south,airport,critical,117.66,app,0
CP0087,C0321,O01020,missedpickup,phone,low,2024-11-03 02:18:00,resolved,6,13.46,1,51,south,consumer,2024-07-31 16:57:00,99.0,70.3,partner api,active,C0321,retail,2024-10-23 02:18:00,2,airport,south,high,77.64,app,0
CP0088,C0180,O00285,driverbehaviour,phone,high,2025-01-13 13:22:00,resolved,10,14.63,3,64,west,consumer,2025-11-23 08:25:00,50.3,58.9,phone,active,C0180,business,2025-01-05 13:22:00,4,north,north,high,106.65,app,0
CP0089,C0296,O01224,appissue,email,low,2024-06-12 12:40:00,resolved,11,0.0,1,28,north,enterprise,2024-07-19 22:00:00,41.9,57.3,phone,active,C0296,passenger,2024-06-10 12:40:00,4,riverside,central,low,136.16,app,0
CP0090,C0123,O00333,missedpickup,phone,medium,2025-04-06 05:27:00,resolved,6,24.95,2,56,south,sme,2025-07-15 17:08:00,76.8,40.6,app,active,C0123,medical,2025-03-25 05:27:00,6,east,central,medium,71.97,app,0
CP0091,C0331,O00652,delay,phone,medium,2024-11-13 21:45:00,resolved,4,0.0,2,58,riverside,consumer,2025-02-26 12:26:00,52.0,34.8,app,active,C0331,retail,2024-11-08 21:45:00,4,south,west,medium,35.54,app,0
CP0092,C0031,O00263,driverbehaviour,email,high,2024-03-02 02:04:00,escalated,12,46.65,3,35,south,consumer,2024-04-30 16:26:00,42.5,44.0,web,active,C0031,parcel,2024-02-19 02:04:00,2,west,central,low,63.35,app,0
CP0093,C0436,O00832,delay,app,medium,2024-06-11 14:01:00,resolved,2,16.98,2,20,riverside,sme,2024-08-27 04:26:00,42.5,57.0,app,active,C0436,parcel,2024-06-06 14:01:00,6,central,airport,low,99.75,app,1
CP0094,C0426,O00400,billing,chatbot,low,2025-07-01 06:33:00,resolved,12,10.94,1,25,riverside,sme,2025-01-05 19:05:00,49.0,47.1,app,dormant,C0426,retail,2025-06-20 06:33:00,6,north,east,high,145.15,web,1
CP0095,C0649,O01240,appissue,chatbot,high,2025-10-11 14:51:00,resolved,12,34.13,3,75,central,enterprise,2025-09-08 16:30:00,42.1,34.4,app,active,C0649,passenger,2025-10-08 14:51:00,2,east,east,high,178.86,phone,0
CP0096,C0001,O00007,appissue,app,high,2024-05-12 21:32:00,resolved,22,43.9,3,26,north,sme,2024-11-27 04:25:00,44.9,69.2,app,active,C0001,business,2024-05-05 21:32:00,2,central,airport,low,76.12,app,0
CP0097,C0282,O01227,driverbehaviour,app,medium,2024-11-07 10:32:00,escalated,15,27.94,2,29,riverside,consumer,2024-04-02 04:47:00,71.4,75.6,web,active,C0282,medical,2024-11-05 10:32:00,2,ctr,north,high,95.27,phone,0
CP0098,C0482,O00335,missedpickup,app,medium,2024-01-31 03:09:00,resolved,18,31.16,2,73,riverside,enterprise,2025-02-04 23:25:00,74.8,54.1,web,active,C0482,passenger,2024-01-26 03:09:00,24,north,airport,high,227.61,api,1
CP0099,C0110,O00574,appissue,email,medium,2024-05-04 02:42:00,awaitingcustomer,14,11.53,2,63,east,consumer,2025-10-20 02:53:00,59.6,59.4,phone,active,C0110,retail,2024-05-03 02:42:00,6,riverside,north,medium,59.99,app,0
CP0100,C0078,O00476,damage,phone,high,2024-02-28 06:34:00,awaitingcustomer,25,42.71,3,40,east,consumer,2024-06-01 20:16:00,35.2,24.6,phone,active,C0078,passenger,2024-02-23 06:34:00,24,west,east,low,89.17,app,0
CP0101,C0119,O00511,driverbehaviour,phone,medium,2024-06-17 09:58:00,resolved,8,0.0,2,65,central,sme,2024-06-03 18:57:00,46.2,54.0,web,dormant,C0119,parcel,2024-06-06 09:58:00,24,west,west,high,150.89,api,0
CP0102,C0095,O00843,delay,chatbot,medium,2024-03-08 21:34:00,resolved,6,14.27,2,23,south,sme,2024-08-16 19:51:00,50.8,61.7,app,suspended,C0095,medical,2024-02-25 21:34:00,12,north,riverside,critical,84.18,phone,1
CP0103,C0378,O00443,appissue,chatbot,low,2025-10-23 00:06:00,resolved,11,11.6,1,38,riverside,consumer,2024-07-17 07:29:00,26.2,77.3,app,active,C0378,parcel,2025-10-20 00:06:00,12,north,riverside,medium,63.8,app,1
CP0104,C0257,O00602,appissue,app,medium,2025-12-15 09:57:00,resolved,1,0.0,2,34,west,consumer,2025-04-30 08:51:00,55.0,93.1,app,active,C0257,passenger,2025-12-11 09:57:00,6,ctr,airport,medium,127.09,web,0
CP0105,C0538,O00129,missedpickup,chatbot,medium,2024-12-19 02:28:00,resolved,10,30.85,2,28,central,enterprise,2024-09-15 05:20:00,84.5,44.3,app,dormant,C0538,retail,2024-12-12 02:28:00,12,central,north,high,63.08,phone,0
CP0106,C0595,O00145,appissue,chatbot,medium,2024-11-10 10:33:00,resolved,6,11.23,2,72,central,consumer,2025-10-18 13:52:00,48.3,26.0,phone,active,C0595,business,2024-11-02 10:33:00,12,north,riverside,medium,35.95,app,0
CP0107,C0396,O01024,delay,email,high,2025-12-23 16:37:00,escalated,7,33.22,3,76,riverside,consumer,2025-03-29 05:06:00,67.2,85.0,app,active,C0396,passenger,2025-12-23 16:37:00,4,north,west,low,129.76,app,0
CP0108,C0595,O00561,delay,chatbot,medium,2025-06-02 08:23:00,resolved,1,13.57,2,72,central,consumer,2025-10-18 13:52:00,48.3,26.0,phone,active,C0595,retail,2025-06-02 08:23:00,4,central,airport,high,86.87,app,0
CP0109,C0626,O00314,missedpickup,email,high,2025-02-22 21:55:00,resolved,9,34.05,3,45,south,consumer,2025-08-01 05:09:00,61.6,6.0,phone,active,C0626,medical,2025-02-15 21:55:00,6,east,east,high,39.37,web,0
CP0110,C0564,O00950,appissue,phone,medium,2025-05-29 02:25:00,awaitingcustomer,8,12.12,2,64,east,consumer,2024-08-14 04:18:00,48.6,72.0,web,active,C0564,passenger,2025-05-18 02:25:00,24,south,airport,medium,82.99,phone,0
CP0111,C0051,O00112,appissue,chatbot,medium,2024-09-17 07:03:00,resolved,5,12.4,2,37,east,consumer,2025-04-04 12:35:00,49.3,53.8,app,active,C0051,passenger,2024-09-16 07:03:00,2,central,west,medium,86.44,app,0
CP0112,C0421,O00586,missedpickup,app,high,2024-04-09 07:09:00,awaitingcustomer,7,45.85,3,34,central,consumer,2025-03-16 15:08:00,59.0,51.4,app,active,C0421,parcel,2024-03-31 07:09:00,12,central,west,critical,31.49,,0
CP0113,C0174,O00227,missedpickup,app,low,2025-08-13 20:06:00,resolved,5,5.7,1,74,north,consumer,2025-06-13 19:18:00,93.5,100.0,app,active,C0174,business,2025-08-08 20:06:00,4,airport,north,medium,21.79,app,0
