vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle
V046,ev,north,2024-07-11 13:31:00,95.8,101425,active,v1.9,0
V047,ev,ctr,2025-02-15 14:49:00,93.7,134347,scheduled,v2.2,0
V048,diesel,central,2025-10-01 18:21:00,76.1,87659,active,v2.1,0
V049,diesel,east,2025-12-09 16:47:00,55.9,15278,active,v2.2,1
V050,ev,riverside,2024-04-04 05:23:00,96.5,114188,active,v2.1,0
V051,ev,north,2024-11-21 11:04:00,87.8,141107,active,v2.0,0
V052,hybrid,riverside,2024-11-14 16:11:00,95.4,182486,active,v1.9,0
V053,cargovan,west,2024-04-23 20:57:00,73.7,122638,scheduled,v2.0,0
V054,hybrid,north,2024-10-28 22:21:00,76.7,90558,scheduled,v2.2,0
V055,hybrid,east,2025-06-05 13:40:00,83.3,85635,active,v2.1,0
V056,ev,central,2024-06-09 16:18:00,78.4,29849,active,v2.2,0
V057,ev,riverside,2025-06-07 06:32:00,76.0,160770,inrepair,v2.0,1
V058,hybrid,central,2024-07-11 13:11:00,74.1,15138,active,v2.0,0
V059,hybrid,airport,2024-03-02 20:36:00,85.2,188332,inrepair,v2.1,1
V060,cargovan,ctr,2025-09-09 03:22:00,80.2,65113,inrepair,v2.0,1
V061,diesel,south,2025-08-06 20:40:00,60.3,126438,active,v2.2,1
V062,hybrid,north,2024-02-13 22:26:00,89.9,113343,active,v2.0,0
V063,ev,central,2024-01-11 00:19:00,73.6,159860,active,v2.1,0
V064,cargovan,west,2025-12-28 22:35:00,67.3,219116,inrepair,v2.2,1
V065,ev,west,2024-01-05 09:25:00,84.3,217057,active,v2.1,0
V066,hybrid,north,2024-04-10 18:00:00,77.7,98535,scheduled,v2.2,0
V067,hybrid,ctr,2025-11-15 00:12:00,57.3,176145,active,v2.0,1
V068,hybrid,riverside,2024-06-28 15:49:00,97.5,73769,inrepair,v2.0,1
V069,hybrid,central,2025-07-20 18:17:00,71.4,187158,active,v2.1,0
V070,cargovan,north,2025-10-24 17:32:00,62.6,39859,inrepair,v2.0,1
V071,ev,west,2024-05-27 18:12:00,73.8,195310,scheduled,v1.9,0
V072,cargovan,airport,2025-02-24 19:07:00,78.1,89109,inrepair,v2.1,1
V073,hybrid,airport,2024-05-28 05:33:00,,191353,active,v2.1,0
V074,cargovan,east,2025-06-05 03:01:00,62.4,18034,active,v2.1,1
V075,diesel,west,2024-04-12 02:10:00,85.5,32441,inrepair,v2.1,1
V076,diesel,central,2025-06-19 15:52:00,65.8,106063,inrepair,v1.9,1
V077,ev,south,2025-04-23 19:27:00,67.6,116877,scheduled,v2.1,1
V078,cargovan,north,2024-03-04 20:00:00,78.4,153638,active,v2.1,0
V079,ev,airport,2025-12-01 18:20:00,100.0,117995,active,v2.2,0
V080,ev,east,2024-05-27 22:15:00,100.0,68844,active,v1.9,0
V081,ev,west,2024-12-28 08:10:00,86.6,165481,active,v2.2,0
V082,ev,ctr,2024-02-03 08:40:00,81.2,81518,active,v2.1,0
V083,cargovan,north,2024-04-11 18:04:00,79.3,42073,active,v2.2,0
V084,cargovan,riverside,2024-12-23 06:28:00,47.6,53872,inrepair,v2.1,1
V085,cargovan,south,2025-09-30 12:01:00,87.3,145652,active,v2.1,0
V086,ev,central,2024-02-25 07:56:00,82.8,42307,scheduled,v2.2,0
V087,hybrid,airport,2025-02-09 18:48:00,49.7,116811,active,v2.1,1
V088,diesel,north,2024-02-14 14:03:00,80.3,50427,inrepair,v2.1,1
V089,cargovan,central,2025-09-27 07:15:00,93.6,136082,inrepair,v1.9,1
V090,hybrid,west,2024-08-16 01:10:00,93.8,98472,inrepair,v2.0,1
V091,hybrid,east,2025-08-24 05:20:00,58.5,172956,active,v1.9,1
V092,hybrid,east,2024-01-07 14:19:00,80.5,36143,inrepair,v2.1,1
V093,cargovan,central,2025-03-04 19:16:00,69.2,119136,scheduled,v2.0,1
V094,cargovan,central,2025-05-22 02:15:00,65.9,159262,scheduled,v1.9,1
V095,cargovan,riverside,2025-11-24 12:43:00,79.0,104553,inrepair,v2.0,1
V096,cargovan,east,2025-08-21 07:26:00,85.1,193315,inrepair,v2.0,1
V097,ev,ctr,2024-11-12 12:56:00,92.1,18680,active,v2.1,0
V098,diesel,west,2025-12-29 15:01:00,69.7,73011,active,v2.1,1
V099,hybrid,south,2024-09-06 02:11:00,65.8,92896,active,v2.0,1
V100,cargovan,east,2024-06-23 11:24:00,60.1,31876,active,v2.0,1
V101,hybrid,north,2024-07-10 00:56:00,84.8,106932,inrepair,v2.1,1
V102,ev,west,2024-10-24 12:35:00,77.0,198326,active,v2.0,0
V103,hybrid,north,2025-01-06 03:21:00,100.0,181609,inrepair,v2.1,1
V104,ev,east,2025-06-30 12:21:00,73.9,91441,active,v2.1,0
V105,ev,ctr,2025-02-16 20:04:00,,149291,active,v2.1,0
V106,cargovan,north,2024-05-06 13:52:00,74.9,93084,active,v2.1,0
V107,cargovan,north,2024-12-25 17:15:00,87.9,96239,active,v2.0,0
V108,diesel,airport,2025-01-31 06:29:00,54.6,141290,inrepair,v1.9,1
V109,hybrid,airport,2024-10-17 11:15:00,60.6,193552,inrepair,v2.1,1
V110,ev,east,2025-03-22 01:17:00,85.1,63717,active,v2.1,0
V111,ev,west,2025-11-11 00:21:00,66.3,208147,active,v2.1,1
V112,ev,south,2024-06-08 07:45:00,94.1,19121,inrepair,v2.1,1
V113,hybrid,central,2024-05-12 02:12:00,58.9,52725,inrepair,v1.9,1
V114,hybrid,north,2024-10-03 17:53:00,90.0,84649,active,v2.2,0
V115,diesel,south,2024-05-10 17:28:00,57.9,85919,active,v2.2,1
V116,diesel,east,2025-04-23 07:10:00,62.7,71822,active,v2.1,1
V117,hybrid,south,2025-01-11 11:13:00,65.5,163683,scheduled,v2.2,1
V118,diesel,riverside,2025-02-18 12:40:00,78.0,145165,active,v2.1,0
V119,ev,riverside,2025-08-17 06:19:00,67.6,215407,inrepair,v2.1,1
V120,ev,central,2025-05-02 16:13:00,73.6,192246,active,v2.0,0
