order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
O00132,C0224,passenger,2025-01-22 09:00:00,2,ctr,central,medium,11.07,app,0
O00133,C0365,passenger,2025-03-29 18:43:00,24,airport,north,medium,128.19,api,1
O00134,C0010,parcel,2024-12-22 18:12:00,4,south,west,critical,23.34,app,0
O00135,C0364,passenger,2025-04-25 02:34:00,24,riverside,north,low,118.96,app,0
O00136,C0413,medical,2024-11-27 16:29:00,1,north,south,high,20.82,app,0
O00137,C0295,parcel,2025-03-14 17:58:00,12,east,south,high,81.5,app,0
O00138,C0149,business,2025-10-02 04:25:00,2,south,airport,medium,99.38,phone,0
O00139,C0545,retail,2025-09-15 19:05:00,2,west,airport,high,4.22,web,0
O00140,C0621,passenger,2024-03-02 23:43:00,4,north,north,low,89.5,app,0
O00141,C0605,business,2024-12-05 19:42:00,1,north,south,high,83.09,web,0
O00142,C0628,retail,2024-10-31 18:36:00,12,ctr,airport,high,83.93,api,0
O00143,C0545,passenger,2025-03-07 11:30:00,24,ctr,central,medium,69.38,app,0
O00144,C0063,business,2025-11-03 20:08:00,4,riverside,central,high,288.86,app,0
O00145,C0595,business,2024-11-02 10:33:00,12,north,riverside,medium,35.95,app,0
O00146,C0168,passenger,2025-10-10 00:54:00,12,east,south,medium,14.05,web,0
O00147,C0096,retail,2024-07-12 07:43:00,6,north,west,critical,32.27,app,0
O00148,C0401,medical,2025-04-03 22:05:00,2,east,east,high,86.3,phone,0
O00149,C0289,business,2024-05-30 21:37:00,4,west,north,high,31.06,app,0
O00150,C0246,business,2025-01-15 17:37:00,6,west,riverside,medium,136.44,web,0
O00151,C0446,retail,2025-03-02 11:33:00,4,west,east,medium,179.57,web,0
O00152,C0239,retail,2024-09-03 18:28:00,24,east,north,medium,139.65,web,0
O00153,C0378,parcel,2025-02-09 08:07:00,24,north,airport,low,33.01,web,0
O00154,C0535,business,2024-08-20 05:56:00,12,north,airport,low,105.88,web,1
O00155,C0039,retail,2024-07-26 17:47:00,24,south,central,low,155.77,phone,0
O00156,C0035,parcel,2024-04-24 07:55:00,6,west,north,medium,68.58,web,1
O00157,C0513,business,2024-09-16 20:06:00,2,airport,north,low,60.52,api,0
O00158,C0620,business,2024-07-11 16:42:00,24,central,west,high,67.81,phone,0
O00159,C0505,parcel,2024-09-14 22:31:00,12,north,south,low,105.17,api,0
O00160,C0478,parcel,2024-08-20 17:29:00,6,central,east,high,68.1,web,0
O00161,C0025,parcel,2024-08-19 17:36:00,12,south,airport,high,123.09,phone,0
O00162,C0476,business,2025-12-14 03:47:00,12,south,ctr,medium,139.13,app,0
O00163,C0583,parcel,2025-06-09 18:36:00,4,central,north,low,67.97,phone,1
O00164,C0622,parcel,2024-03-23 13:43:00,24,south,ctr,low,211.8,app,0
O00165,C0275,retail,2024-03-16 14:08:00,24,north,central,low,122.59,app,0
O00166,C0517,passenger,2025-05-30 17:32:00,4,east,south,medium,76.66,app,0
O00167,C0325,medical,2024-04-27 20:46:00,24,east,east,medium,24.78,api,0
O00168,C0464,parcel,2025-06-11 03:29:00,6,central,riverside,high,115.35,web,0
O00169,C0399,retail,2025-12-03 12:34:00,4,east,north,medium,84.09,app,1
O00170,C0005,business,2024-06-24 06:36:00,4,airport,airport,high,58.3,app,1
O00171,C0447,parcel,2025-05-01 02:08:00,1,airport,airport,critical,63.41,app,0
O00172,C0343,passenger,2025-01-17 19:03:00,4,east,west,high,108.19,app,0
O00173,C0371,passenger,2025-02-18 07:03:00,2,ctr,central,critical,249.32,app,1
O00174,C0537,passenger,2025-01-16 01:00:00,4,central,north,low,19.65,web,0
O00175,C0562,business,2025-12-19 19:13:00,4,riverside,west,high,150.9,app,0
O00176,C0479,retail,2025-04-15 09:07:00,4,central,ctr,medium,14.76,phone,0
O00177,C0477,passenger,2025-12-25 04:27:00,6,north,west,low,109.36,web,0
O00178,C0287,medical,2024-03-30 19:55:00,4,east,south,low,55.9,app,0
O00179,C0343,parcel,2024-07-25 18:07:00,12,central,riverside,medium,52.96,web,1
O00180,C0615,parcel,2024-12-29 05:23:00,24,central,north,low,54.32,phone,0
O00181,C0252,retail,2024-12-15 23:43:00,2,airport,airport,critical,108.19,api,1
O00182,C0258,passenger,2024-01-12 08:07:00,2,west,west,medium,109.03,web,0
O00183,C0102,business,2024-09-02 11:32:00,4,south,riverside,critical,11.5,app,0
O00184,C0394,parcel,2025-06-21 11:46:00,2,central,riverside,medium,51.44,api,0
O00185,C0482,retail,2025-05-15 01:52:00,24,east,central,low,62.26,web,0
O00186,C0007,parcel,2025-09-10 11:06:00,1,east,west,low,7.45,api,0
O00187,C0070,medical,2024-12-30 17:20:00,12,south,east,medium,49.72,app,0
O00188,C0558,passenger,2025-09-09 03:02:00,4,riverside,ctr,medium,138.45,app,1
O00189,C0388,parcel,2025-11-22 07:16:00,4,north,north,low,14.46,app,0
O00190,C0622,parcel,2024-12-28 06:44:00,1,south,north,medium,31.72,phone,0
O00191,C0641,parcel,2025-04-02 00:53:00,12,central,north,medium,151.09,phone,1
O00192,C0404,retail,2025-08-18 14:07:00,24,ctr,north,high,83.79,app,1
O00193,C0114,business,2024-01-22 15:07:00,4,east,ctr,medium,202.67,app,1
O00194,C0191,passenger,2024-03-16 08:11:00,1,central,riverside,low,92.07,web,1
O00195,C0404,retail,2024-06-02 17:59:00,12,ctr,east,medium,18.03,app,1
O00196,C0314,retail,2024-10-23 21:42:00,6,ctr,central,high,151.74,app,0
O00197,C0420,retail,2025-01-24 04:37:00,2,north,east,medium,175.96,phone,0
O00198,C0487,parcel,2024-09-13 17:44:00,2,west,central,low,21.51,web,0
O00199,C0595,retail,2024-10-02 14:00:00,12,north,north,high,62.65,,0
O00200,C0060,passenger,2024-01-26 10:09:00,4,ctr,riverside,high,94.52,,0
O00201,C0486,passenger,2025-05-13 16:30:00,4,north,south,medium,118.29,web,0
O00202,C0449,passenger,2024-02-02 01:04:00,1,south,west,low,20.68,web,0
O00203,C0336,business,2024-07-05 19:52:00,6,central,airport,high,84.76,web,0
O00204,C0355,passenger,2025-10-22 21:38:00,12,airport,west,high,61.59,app,0
O00205,C0246,parcel,2025-02-05 15:10:00,6,north,south,medium,63.36,app,1
O00206,C0255,parcel,2025-12-10 14:25:00,4,south,east,low,20.86,app,1
O00207,C0023,business,2024-08-22 19:33:00,6,ctr,riverside,medium,80.33,app,0
O00208,C0359,passenger,2024-03-18 11:21:00,2,west,riverside,high,90.19,phone,1
O00209,C0201,retail,2025-06-24 06:19:00,4,airport,riverside,critical,178.55,app,1
O00210,C0347,parcel,2024-05-14 18:39:00,4,east,west,high,106.23,phone,0
O00211,C0488,business,2024-02-14 06:10:00,6,airport,east,medium,43.29,app,1
O00212,C0121,parcel,2025-01-04 23:29:00,4,east,ctr,high,128.36,api,0
O00213,C0512,parcel,2024-12-05 18:29:00,12,west,riverside,low,161.85,phone,1
O00214,C0088,business,2025-02-01 11:20:00,2,east,east,high,102.83,app,0
O00215,C0341,business,2024-01-07 10:37:00,1,west,west,medium,84.03,phone,1
O00216,C0629,retail,2025-05-10 10:14:00,4,north,west,critical,220.83,,0
O00217,C0331,retail,2024-01-22 07:29:00,24,airport,airport,medium,40.42,phone,1
O00218,C0154,passenger,2025-09-15 01:40:00,2,north,west,critical,77.97,app,0
O00219,C0421,passenger,2024-05-29 23:42:00,2,east,south,medium,62.84,app,0
O00220,C0428,medical,2024-05-27 08:24:00,6,central,west,low,136.63,phone,0
O00221,C0298,parcel,2024-10-06 02:32:00,12,south,airport,medium,16.07,phone,0
O00222,C0266,parcel,2024-09-25 11:36:00,4,riverside,west,high,27.35,phone,0
O00223,C0172,retail,2025-08-10 16:37:00,4,ctr,airport,high,178.85,web,0
O00224,C0045,parcel,2024-05-22 22:02:00,24,north,central,high,46.15,app,1
O00225,C0290,retail,2025-07-28 03:55:00,1,riverside,riverside,medium,25.8,,0
O00226,C0292,parcel,2024-07-23 13:40:00,24,east,north,medium,63.79,app,0
O00227,C0174,business,2025-08-08 20:06:00,4,airport,north,medium,21.79,app,0
O00228,C0242,parcel,2025-01-06 09:50:00,6,east,airport,high,87.21,web,0
O00229,C0335,passenger,2024-08-31 04:43:00,6,central,riverside,medium,33.48,app,0
O00230,C0533,passenger,2024-03-14 09:48:00,1,central,north,low,25.84,app,1
O00231,C0250,passenger,2024-12-15 23:23:00,6,east,south,low,69.44,,0
O00232,C0533,retail,2025-06-05 20:15:00,6,riverside,central,medium,122.94,api,1
O00233,C0252,parcel,2024-12-24 17:45:00,1,riverside,south,high,100.64,phone,1
O00234,C0145,parcel,2025-02-19 10:03:00,6,south,riverside,low,42.01,web,0
O00235,C0502,retail,2025-12-22 10:42:00,2,ctr,central,medium,27.53,phone,0
O00236,C0429,business,2024-11-26 15:32:00,2,east,south,medium,118.24,app,0
O00237,C0431,parcel,2025-01-11 07:51:00,24,riverside,south,low,19.51,web,0
O00238,C0141,parcel,2024-08-28 11:09:00,4,south,west,critical,192.22,phone,1
O00239,C0399,parcel,2024-05-18 06:00:00,4,ctr,central,low,31.43,app,0
O00240,C0289,passenger,2025-11-18 14:25:00,2,east,airport,low,71.85,app,0
O00241,C0117,parcel,2025-04-01 12:36:00,2,west,north,low,99.3,app,1
O00242,C0587,retail,2024-11-05 05:37:00,1,ctr,west,high,42.77,app,0
O00243,C0153,passenger,2024-03-08 04:19:00,6,south,west,low,64.73,phone,0
O00244,C0519,passenger,2024-11-11 08:46:00,1,north,riverside,medium,225.95,api,0
O00245,C0096,parcel,2025-08-08 17:42:00,4,south,south,low,21.06,app,1
O00246,C0023,parcel,2024-12-14 02:58:00,4,east,riverside,medium,68.11,web,0
O00247,C0613,parcel,2024-07-13 18:59:00,4,east,south,high,124.3,app,0
O00248,C0153,passenger,2024-03-22 18:11:00,4,south,airport,medium,16.18,phone,0
O00249,C0566,business,2024-11-07 18:22:00,2,central,west,critical,218.68,app,0
O00250,C0300,passenger,2025-04-24 11:49:00,24,central,north,medium,9.42,app,0
O00251,C0581,parcel,2025-12-07 13:46:00,1,riverside,south,medium,42.45,app,0
O00252,C0232,parcel,2024-03-10 15:20:00,1,east,north,low,66.88,phone,0
O00253,C0543,retail,2024-06-28 08:57:00,4,ctr,west,high,144.86,web,0
O00254,C0097,parcel,2024-09-20 17:01:00,4,north,west,medium,115.81,app,0
O00255,C0225,retail,2024-06-17 20:17:00,12,south,central,critical,139.77,phone,0
O00256,C0564,retail,2024-08-30 22:01:00,6,north,north,high,131.08,app,0
O00257,C0128,passenger,2024-08-11 01:25:00,6,south,north,critical,87.95,phone,1
O00258,C0107,business,2025-04-03 06:57:00,4,central,west,low,98.81,app,0
O00259,C0122,retail,2025-09-09 09:55:00,24,south,east,high,172.55,app,1
O00260,C0597,parcel,2025-05-28 20:06:00,6,central,riverside,low,198.61,app,1
O00261,C0003,passenger,2024-07-20 07:46:00,12,west,east,low,165.8,app,0
O00262,C0265,passenger,2024-02-28 04:38:00,6,central,central,high,151.47,phone,1
O00263,C0031,parcel,2024-02-19 02:04:00,2,west,central,low,63.35,app,0
O00264,C0633,business,2025-08-12 10:46:00,6,east,airport,medium,113.96,app,1
O00265,C0244,parcel,2024-05-19 00:12:00,4,riverside,south,medium,20.51,app,0
O00266,C0345,business,2024-10-04 17:41:00,2,ctr,north,high,41.27,app,1
O00267,C0256,parcel,2024-01-16 20:20:00,6,airport,north,low,98.71,app,0
O00268,C0475,medical,2024-01-29 06:20:00,4,west,west,medium,71.4,app,1
O00269,C0175,passenger,2024-11-30 23:01:00,6,north,riverside,medium,19.29,app,0
O00270,C0561,business,2025-10-26 15:25:00,4,west,central,medium,140.61,app,1
O00271,C0381,passenger,2025-09-16 21:51:00,4,west,ctr,critical,192.54,app,0
O00272,C0647,retail,2024-12-11 05:03:00,24,riverside,central,medium,55.63,app,0
O00273,C0642,retail,2025-02-28 01:05:00,24,central,west,medium,16.14,app,0
O00274,C0086,passenger,2025-10-03 19:21:00,24,north,west,high,90.93,app,1
O00275,C0473,business,2025-05-21 19:25:00,6,south,east,medium,142.68,app,0
O00276,C0442,parcel,2024-09-20 14:55:00,6,central,east,medium,61.64,app,0
O00277,C0329,passenger,2024-01-14 00:59:00,6,west,central,medium,107.13,phone,0
O00278,C0183,passenger,2024-11-20 18:41:00,12,ctr,north,high,32.25,phone,0
O00279,C0246,business,2024-11-16 01:26:00,12,west,riverside,medium,61.44,app,0
O00280,C0206,passenger,2025-09-20 22:46:00,12,east,airport,critical,151.49,app,1
O00281,C0437,passenger,2024-12-03 05:05:00,4,airport,north,low,47.49,web,0
O00282,C0630,parcel,2024-01-20 04:13:00,6,south,west,medium,207.38,web,0
O00283,C0430,business,2024-05-26 16:49:00,6,north,west,medium,177.07,app,0
O00284,C0363,passenger,2024-04-02 11:52:00,24,north,airport,high,116.68,phone,0
O00285,C0180,business,2025-01-05 13:22:00,4,north,north,high,106.65,app,0
O00286,C0402,business,2025-07-05 21:37:00,6,west,east,low,84.75,app,0
O00287,C0201,retail,2025-07-22 04:42:00,1,west,airport,low,68.14,phone,0
O00288,C0542,medical,2025-09-08 18:21:00,4,south,central,low,56.47,app,0
O00289,C0574,parcel,2024-08-23 23:39:00,24,north,east,high,20.53,app,0
O00290,C0028,medical,2024-09-21 22:30:00,2,central,west,high,54.76,app,0
O00291,C0198,business,2024-02-02 20:19:00,4,airport,south,low,116.22,web,0
O00292,C0060,parcel,2025-10-29 17:45:00,12,ctr,west,medium,59.59,app,0
O00293,C0165,parcel,2025-04-09 17:17:00,6,ctr,east,critical,67.89,app,0
O00294,C0486,parcel,2025-01-05 16:33:00,1,airport,airport,low,82.04,app,0
O00295,C0123,passenger,2024-10-07 04:16:00,2,east,north,medium,45.46,app,0
O00296,C0400,retail,2024-01-10 17:30:00,6,south,north,medium,10.85,app,0
O00297,C0560,passenger,2024-04-12 20:51:00,6,airport,riverside,low,151.53,web,0
O00298,C0184,parcel,2025-01-06 04:40:00,4,west,north,low,28.65,web,0
O00299,C0566,retail,2024-08-21 12:48:00,6,south,ctr,low,172.53,api,0
O00300,C0512,retail,2024-04-02 00:39:00,4,riverside,south,low,33.34,app,1
O00301,C0181,business,2024-05-17 03:03:00,6,east,riverside,medium,63.32,app,0
O00302,C0558,retail,2025-07-10 16:13:00,24,riverside,central,high,228.25,web,0
O00303,C0514,retail,2025-07-22 05:16:00,4,central,south,medium,48.67,web,0
O00304,C0253,passenger,2025-09-12 11:47:00,12,east,riverside,high,134.68,app,0
O00305,C0322,parcel,2024-06-01 05:55:00,24,riverside,airport,low,46.14,phone,0
O00306,C0613,passenger,2024-06-14 16:01:00,4,north,north,low,42.22,phone,0
O00307,C0343,parcel,2024-12-25 22:15:00,4,east,riverside,low,73.14,app,0
O00308,C0458,passenger,2025-03-28 15:13:00,12,airport,west,medium,100.44,api,0
O00309,C0073,parcel,2025-10-13 11:57:00,1,south,airport,medium,175.54,phone,0
O00310,C0094,retail,2025-02-02 14:13:00,24,central,west,high,28.08,app,0
O00311,C0215,medical,2024-11-27 00:06:00,12,central,south,high,167.59,phone,0
O00312,C0164,passenger,2025-11-06 23:00:00,6,east,east,medium,124.24,app,0
O00313,C0616,medical,2024-03-08 20:58:00,24,south,north,low,11.11,app,0
O00314,C0626,medical,2025-02-15 21:55:00,6,east,east,high,39.37,web,0
O00315,C0494,parcel,2024-12-25 01:14:00,4,north,south,low,159.29,app,0
O00316,C0094,medical,2025-07-31 12:26:00,6,west,west,low,53.63,app,0
O00317,C0094,passenger,2025-01-19 21:40:00,6,riverside,west,high,236.09,app,1
O00318,C0009,retail,2024-08-17 00:16:00,6,riverside,south,low,84.27,web,1
O00319,C0335,business,2024-01-22 08:45:00,24,ctr,airport,low,124.48,app,0
O00320,C0519,parcel,2025-03-20 07:14:00,1,central,west,high,97.13,phone,0
O00321,C0016,medical,2024-12-28 06:20:00,4,central,west,medium,97.42,web,0
O00322,C0495,business,2025-03-11 20:17:00,4,ctr,south,high,61.55,app,0
O00323,C0487,retail,2024-11-01 15:13:00,4,south,north,low,22.09,phone,0
O00324,C0019,passenger,2025-08-06 05:30:00,1,south,riverside,high,131.3,app,1
O00325,C0259,passenger,2024-09-30 04:52:00,2,north,south,medium,70.71,web,0
O00326,C0178,passenger,2024-11-03 09:05:00,12,west,west,medium,242.48,web,0
O00327,C0435,retail,2024-12-05 00:31:00,4,north,north,low,90.61,api,0
O00328,C0491,business,2024-09-12 05:20:00,2,east,south,medium,37.78,app,0
O00329,C0278,parcel,2025-11-30 19:38:00,6,central,south,medium,7.02,web,1
O00330,C0172,medical,2025-04-08 06:37:00,1,west,riverside,medium,49.61,web,0
