incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours,incident_severity_score,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_minutes,promised_window_hours,promised_window_minutes,is_delayed,is_failed,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle,hub_name,zone,hub_type,capacity_score
I0011,DL00376,customernoshow,2024-09-21 19:17:00,medium,closed,20.4,2,O01104,D090,V114,H04,2024-09-21 17:50:00,2024-09-22 04:54:45.274892,ontime,6.72,0.0,0.0,4.51,5.92,664.7545815333334,12.0,720.0,0.0,0.0,north,fulltime,8.0,58.0,3.78,morning,1.0,hybrid,north,2024-10-03 17:53:00,90.0,84649.0,active,v2.2,0.0,West Gate,west,dispatch,69.0
I0012,DL00366,routedeviation,2025-07-24 06:39:00,medium,escalated,18.7,2,O00910,D146,V095,H06,2025-07-24 04:05:00,2025-07-24 11:38:55.420285,ontime,17.03,0.0,0.0,3.63,18.63,453.92367141666665,6.0,360.0,1.0,0.0,airport,contract,1.0,,4.36,morning,1.0,cargovan,riverside,2025-11-24 12:43:00,79.0,104553.0,inrepair,v2.0,1.0,Airport Hub,airport,dispatch,71.0
I0013,DL00253,batteryalert,2024-09-30 07:49:00,high,closed,20.9,3,O00325,D126,V033,H08,2024-09-30 05:43:00,2024-09-30 07:09:22.633894,ontime,5.12,1.0,0.0,4.24,9.16,86.37723156666667,2.0,120.0,0.0,0.0,east,parttime,9.0,69.7,4.1,evening,1.0,ev,airport,2024-09-19 18:57:00,78.6,55241.0,inrepair,v2.2,1.0,Midtown Relay,central,charging,63.0
I0014,DL00075,vehiclefault,2024-08-06 04:32:00,high,open,5.0,3,O01239,D169,V047,H02,2024-08-06 04:24:00,2024-08-06 05:22:04.347228,ontime,13.25,3.0,0.0,3.24,11.94,58.0724538,2.0,120.0,0.0,0.0,east,contract,5.0,77.6,3.81,flexible,1.0,ev,ctr,2025-02-15 14:49:00,93.7,134347.0,scheduled,v2.2,0.0,South Link,south,dispatch,78.0
I0015,DL00607,proofmissing,2024-09-11 17:48:00,high,closed,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I0016,DL00724,appsyncerror,2024-10-10 08:26:00,low,pendingvendor,18.7,1,O00024,D003,V042,H01,2024-10-10 07:43:00,2024-10-10 10:21:10.389885,ontime,17.9,0.0,0.0,4.76,14.39,158.17316475,6.0,360.0,0.0,0.0,airport,fulltime,11.0,96.5,5.0,evening,1.0,ev,east,2025-06-21 07:06:00,80.5,215870.0,inrepair,v1.9,1.0,North Exchange,north,dispatch,82.0
I0017,DL00809,proofmissing,2025-02-27 00:31:00,low,closed,,1,O01071,D043,V051,H05,2025-02-27 00:21:00,2025-02-27 16:48:45.890797,delayed,13.21,1.0,1.0,4.41,16.54,987.7648466166667,12.0,720.0,1.0,0.0,north,fulltime,13.0,80.3,4.6,evening,0.0,ev,north,2024-11-21 11:04:00,87.8,141107.0,active,v2.0,0.0,Central Core,central,control,88.0
I0018,DL00574,appsyncerror,2025-11-08 21:55:00,high,closed,10.5,3,O00693,D048,V016,H05,2025-11-08 19:41:00,2025-11-09 11:16:21.047564,failed,24.31,1.0,0.0,4.63,16.24,935.3507927333334,2.0,120.0,1.0,1.0,east,fulltime,7.0,76.3,3.45,flexible,1.0,ev,west,2024-10-13 19:38:00,63.5,84395.0,active,v2.1,1.0,Central Core,central,control,88.0
I0019,DL00685,batteryalert,2024-02-12 07:05:00,high,closed,11.3,3,O00113,D002,V042,H03,2024-02-12 05:54:00,2024-02-12 22:59:20.709373,failed,10.66,1.0,0.0,2.68,10.8,1025.3451562166667,2.0,120.0,1.0,1.0,central,fulltime,4.0,42.4,3.94,evening,1.0,ev,east,2025-06-21 07:06:00,80.5,215870.0,inrepair,v1.9,1.0,East Dock,east,warehouse,74.0
I0020,DL00921,temperatureissue,2025-01-04 04:14:00,critical,closed,3.3,4,O00332,D063,V108,H08,2025-01-04 02:49:00,2025-01-05 01:59:36.355790,failed,6.36,0.0,0.0,2.34,9.47,1390.6059298333334,12.0,720.0,1.0,1.0,north,parttime,12.0,85.7,4.03,morning,1.0,diesel,airport,2025-01-31 06:29:00,54.6,141290.0,inrepair,v1.9,1.0,Midtown Relay,central,charging,63.0
I0021,DL00186,safetynearmiss,2024-01-14 06:44:00,medium,escalated,4.8,2,O00798,D006,V081,H06,2024-01-14 04:23:00,2024-01-14 07:07:14.801241,ontime,14.26,1.0,0.0,4.91,4.79,164.24668734999997,4.0,240.0,0.0,0.0,central,fulltime,8.0,78.8,4.38,flexible,1.0,ev,west,2024-12-28 08:10:00,86.6,165481.0,active,v2.2,0.0,Airport Hub,airport,dispatch,71.0
I0022,DL00097,batteryalert,2024-07-17 01:29:00,medium,escalated,26.8,2,O00794,D170,V109,H07,2024-07-16 22:51:00,2024-07-18 01:52:17.414330,failed,10.54,1.0,0.0,3.58,3.56,1621.2902388333334,12.0,720.0,1.0,1.0,west,fulltime,14.0,75.2,4.48,morning,1.0,hybrid,airport,2024-10-17 11:15:00,60.6,193552.0,inrepair,v2.1,1.0,Riverside Hub,riverside,warehouse,66.0
I0023,DL00904,proofmissing,2025-08-19 08:30:00,medium,escalated,4.8,2,O01102,D160,V112,H04,2025-08-19 06:18:00,2025-08-19 09:41:36.852221,ontime,32.81,0.0,0.0,4.79,16.84,203.61420368333333,4.0,240.0,0.0,0.0,east,fulltime,12.0,72.8,4.48,morning,1.0,ev,south,2024-06-08 07:45:00,94.1,19121.0,inrepair,v2.1,1.0,West Gate,west,dispatch,69.0
I0024,DL00850,proofmissing,2025-08-30 22:55:00,low,closed,12.0,1,O00444,D060,V055,H05,2025-08-30 19:20:00,2025-08-30 22:59:39.779090,ontime,4.26,4.0,0.0,4.32,8.71,219.66298483333333,4.0,240.0,0.0,0.0,south,fulltime,4.0,76.0,4.49,morning,1.0,hybrid,east,2025-06-05 13:40:00,83.3,85635.0,active,v2.1,0.0,Central Core,central,control,88.0
I0025,DL00413,batteryalert,2024-08-30 02:36:00,medium,pendingvendor,5.7,2,O01077,D046,V035,H01,2024-08-30 00:32:00,2024-08-30 11:34:46.079286,failed,6.34,1.0,0.0,4.22,10.75,662.7679881,4.0,240.0,1.0,1.0,south,fulltime,5.0,82.2,4.06,morning,1.0,cargovan,east,2025-07-03 09:34:00,83.6,73804.0,active,v2.0,0.0,North Exchange,north,dispatch,82.0
I0026,DL00254,routedeviation,2024-12-29 16:12:00,high,closed,16.8,3,O00933,D053,V084,H05,2024-12-29 13:26:00,2024-12-29 18:18:06.932349,ontime,11.34,1.0,0.0,4.09,12.33,292.11553914999996,6.0,360.0,0.0,0.0,west,fulltime,5.0,83.3,3.8,morning,1.0,cargovan,riverside,2024-12-23 06:28:00,47.6,53872.0,inrepair,v2.1,1.0,Central Core,central,control,88.0
I0027,DL00474,vehiclefault,2025-02-25 04:16:00,medium,closed,4.3,2,O00067,D004,V017,H04,2025-02-25 03:48:00,2025-02-25 07:16:13.969650,ontime,2.66,0.0,0.0,4.36,9.21,208.23282749999998,6.0,360.0,0.0,0.0,airport,parttime,13.0,88.9,4.75,morning,1.0,hybrid,riverside,2024-04-23 12:54:00,82.4,169703.0,inrepair,v2.2,1.0,West Gate,west,dispatch,69.0
I0028,DL00479,routedeviation,2024-11-03 04:12:00,low,closed,21.2,1,O00533,D091,V047,H01,2024-11-03 02:54:00,2024-11-03 19:36:46.278515,delayed,3.46,0.0,0.0,1.0,14.35,1002.7713085833333,4.0,240.0,1.0,0.0,riverside,fulltime,12.0,68.0,4.46,night,1.0,ev,ctr,2025-02-15 14:49:00,93.7,134347.0,scheduled,v2.2,0.0,North Exchange,north,dispatch,82.0
I0029,DL00198,vehiclefault,2024-12-08 08:07:00,medium,open,11.8,2,O00465,D156,V111,H04,2024-12-08 07:33:00,2024-12-08 12:46:07.626495,delayed,8.01,0.0,0.0,3.38,10.98,313.12710825,2.0,120.0,1.0,0.0,south,fulltime,14.0,84.5,3.62,evening,1.0,ev,west,2025-11-11 00:21:00,66.3,208147.0,active,v2.1,1.0,West Gate,west,dispatch,69.0
I0030,DL00448,routedeviation,2024-08-30 15:06:00,low,escalated,20.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I0031,DL00587,proofmissing,2024-01-12 10:43:00,low,escalated,16.7,1,O00182,D166,V009,H01,2024-01-12 10:05:00,2024-01-12 12:52:41.364362,ontime,4.98,1.0,0.0,4.15,3.57,167.68940603333334,2.0,120.0,1.0,0.0,west,parttime,7.0,74.6,4.07,night,1.0,cargovan,south,2025-05-01 08:50:00,68.8,156687.0,active,v2.1,1.0,North Exchange,north,dispatch,82.0
I0032,DL00181,vehiclefault,2024-08-26 02:02:00,low,open,11.3,1,O00450,D073,V014,H02,2024-08-25 23:47:00,2024-08-25 23:58:42.961492,ontime,12.74,1.0,0.0,5.0,14.37,11.716024866666666,2.0,120.0,0.0,0.0,east,fulltime,11.0,76.9,4.58,evening,1.0,ev,airport,2025-05-24 12:36:00,100.0,206339.0,scheduled,v2.0,0.0,South Link,south,dispatch,78.0
I0033,DL00694,batteryalert,2024-03-31 09:38:00,medium,open,4.3,2,O00457,D087,V038,H05,2024-03-31 09:26:00,2024-04-01 08:43:50.348343,failed,14.66,0.0,1.0,1.68,13.68,1397.83913905,12.0,720.0,1.0,1.0,north,contract,13.0,73.3,4.43,night,1.0,cargovan,central,2025-03-16 12:29:00,81.6,68032.0,active,v2.1,0.0,Central Core,central,control,88.0
I0034,DL00684,appsyncerror,2024-02-06 14:01:00,medium,pendingvendor,23.7,2,O00986,D026,V027,H08,2024-02-06 11:40:00,2024-02-07 19:38:29.699653,delayed,12.6,1.0,1.0,3.71,10.36,1918.4949942166668,24.0,1440.0,1.0,0.0,north,parttime,4.0,84.9,3.15,night,0.0,diesel,south,2025-08-12 12:37:00,78.6,51052.0,inrepair,v2.2,1.0,Midtown Relay,central,charging,63.0
I0035,DL00882,appsyncerror,2024-06-26 15:00:00,low,closed,0.8,1,O01151,D039,V036,H03,2024-06-26 13:58:00,2024-06-27 02:26:43.512371,ontime,3.86,0.0,0.0,4.76,7.4,748.7252061833333,12.0,720.0,1.0,0.0,airport,contract,7.0,86.1,4.06,evening,1.0,diesel,north,2025-09-26 13:33:00,90.4,215767.0,inrepair,v2.1,1.0,East Dock,east,warehouse,74.0
I0036,DL00272,vehiclefault,2025-09-02 17:36:00,low,closed,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I0037,DL00938,temperatureissue,2024-04-04 06:40:00,high,closed,13.3,3,O01246,D132,V109,H03,2024-04-04 03:20:00,2024-04-04 10:45:58.482629,failed,36.94,0.0,0.0,2.58,20.16,445.9747104833333,4.0,240.0,1.0,1.0,south,contract,8.0,77.6,4.2,evening,1.0,hybrid,airport,2024-10-17 11:15:00,60.6,193552.0,inrepair,v2.1,1.0,East Dock,east,warehouse,74.0
I0038,DL00032,proofmissing,2025-01-29 06:31:00,medium,closed,5.2,2,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,ontime,15.58,1.0,0.0,4.23,13.75,179.7724034,6.0,360.0,0.0,0.0,north,fulltime,2.0,59.6,4.12,flexible,1.0,cargovan,north,2025-10-07 22:40:00,50.7,129032.0,inrepair,v2.1,1.0,Midtown Relay,central,charging,63.0
I0039,DL00208,safetynearmiss,2024-04-13 05:39:00,high,closed,2.6,3,O00964,D087,V018,H01,2024-04-13 03:27:00,2024-04-13 22:30:31.511760,failed,21.73,0.0,1.0,3.09,13.36,1143.5251959999998,2.0,120.0,1.0,1.0,north,contract,13.0,73.3,4.43,night,1.0,diesel,riverside,2025-04-08 22:29:00,86.8,98363.0,scheduled,v2.1,0.0,North Exchange,north,dispatch,82.0
I0040,DL00573,proofmissing,2024-05-08 00:38:00,medium,escalated,8.1,2,O01214,D118,V077,H02,2024-05-07 23:32:00,2024-05-08 01:20:03.169081,ontime,7.3,1.0,0.0,5.0,14.05,108.05281801666666,4.0,240.0,0.0,0.0,north,fulltime,1.0,80.6,4.88,night,1.0,ev,south,2025-04-23 19:27:00,67.6,116877.0,scheduled,v2.1,1.0,South Link,south,dispatch,78.0
I0041,DL00072,safetynearmiss,2025-11-20 07:56:00,medium,closed,17.3,2,O00402,D110,V027,H05,2025-11-20 06:20:00,2025-11-20 19:21:38.642714,delayed,28.51,0.0,0.0,3.28,15.11,781.6440452333334,4.0,240.0,1.0,0.0,riverside,contract,7.0,40.6,4.1,morning,1.0,diesel,south,2025-08-12 12:37:00,78.6,51052.0,inrepair,v2.2,1.0,Central Core,central,control,88.0
I0042,DL00547,temperatureissue,2025-10-07 21:18:00,medium,closed,22.7,2,O00778,D014,V090,H05,2025-10-07 19:49:00,2025-10-07 21:46:03.475662,ontime,11.03,0.0,0.0,4.93,14.38,117.0579277,4.0,240.0,0.0,0.0,north,fulltime,6.0,76.1,4.7,evening,1.0,hybrid,west,2024-08-16 01:10:00,93.8,98472.0,inrepair,v2.0,1.0,Central Core,central,control,88.0
I0043,DL00009,appsyncerror,2024-04-12 22:42:00,low,open,20.1,1,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,ontime,40.23,1.0,0.0,3.7,15.78,225.87788813333333,6.0,360.0,0.0,0.0,riverside,contract,4.0,84.3,4.17,morning,1.0,ev,north,2024-12-04 10:53:00,,130270.0,active,v2.0,0.0,Central Core,central,control,88.0
I0044,DL00590,proofmissing,2024-08-31 06:13:00,critical,closed,3.2,4,O00229,D112,V017,H07,2024-08-31 05:34:00,2024-08-31 21:45:46.740651,delayed,7.56,4.0,0.0,3.44,12.03,971.77901085,6.0,360.0,1.0,0.0,east,fulltime,14.0,79.1,4.51,morning,1.0,hybrid,riverside,2024-04-23 12:54:00,82.4,169703.0,inrepair,v2.2,1.0,Riverside Hub,riverside,warehouse,66.0
I0045,DL00341,batteryalert,2024-11-14 01:36:00,medium,open,12.2,2,O01203,D050,V037,H07,2024-11-13 21:57:00,2024-11-14 21:39:10.558162,ontime,2.78,0.0,0.0,3.72,12.39,1422.1759693666668,24.0,1440.0,0.0,0.0,north,fulltime,6.0,87.4,3.9,evening,1.0,cargovan,south,2025-06-13 23:43:00,56.6,52146.0,inrepair,v1.9,1.0,Riverside Hub,riverside,warehouse,66.0
I0046,DL00014,proofmissing,2024-05-07 14:02:00,high,pendingvendor,6.9,3,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,ontime,16.46,0.0,0.0,3.67,11.74,490.7299283333333,12.0,720.0,0.0,0.0,east,parttime,10.0,67.6,4.62,morning,1.0,ev,riverside,2025-06-14 03:47:00,90.5,49711.0,active,v2.0,0.0,Central Core,central,control,88.0
I0047,DL00919,safetynearmiss,2025-12-26 23:23:00,medium,open,23.6,2,O00763,D139,V097,H04,2025-12-26 20:25:00,2025-12-26 23:44:12.237781,ontime,5.38,2.0,0.0,5.0,10.53,199.20396301666668,4.0,240.0,0.0,0.0,south,fulltime,10.0,71.4,4.99,evening,1.0,ev,ctr,2024-11-12 12:56:00,92.1,18680.0,active,v2.1,0.0,West Gate,west,dispatch,69.0
I0048,DL00265,routedeviation,2024-06-28 12:42:00,low,closed,2.2,1,O00253,D119,V054,H03,2024-06-28 11:02:00,2024-06-28 13:40:12.117454,ontime,14.43,0.0,0.0,4.54,15.01,158.20195756666666,4.0,240.0,0.0,0.0,south,fulltime,5.0,56.0,3.55,flexible,1.0,hybrid,north,2024-10-28 22:21:00,76.7,90558.0,scheduled,v2.2,0.0,East Dock,east,warehouse,74.0
I0049,DL00493,batteryalert,2025-08-09 21:45:00,medium,closed,24.3,2,O00803,D017,V070,H03,2025-08-09 20:37:00,2025-08-09 23:43:05.330497,ontime,4.68,0.0,0.0,4.83,11.06,186.08884161666668,6.0,360.0,0.0,0.0,east,parttime,1.0,,4.34,morning,1.0,cargovan,north,2025-10-24 17:32:00,62.6,39859.0,inrepair,v2.0,1.0,East Dock,east,warehouse,74.0
I0050,DL00207,customernoshow,2024-03-17 01:48:00,high,open,20.9,3,O01035,D121,V114,H04,2024-03-17 00:24:00,2024-03-17 06:31:20.483060,ontime,18.52,1.0,0.0,4.4,11.28,367.34138433333334,6.0,360.0,1.0,0.0,riverside,contract,3.0,,4.97,morning,1.0,hybrid,north,2024-10-03 17:53:00,90.0,84649.0,active,v2.2,0.0,West Gate,west,dispatch,69.0
I0051,DL00365,customernoshow,2025-09-05 09:36:00,low,pendingvendor,24.8,1,O00861,D064,V012,H01,2025-09-05 09:13:00,2025-09-05 09:38:01.068912,ontime,10.33,0.0,0.0,4.19,9.22,25.017815199999998,2.0,120.0,0.0,0.0,south,parttime,14.0,88.9,4.18,morning,1.0,hybrid,south,2024-04-15 00:26:00,56.2,52021.0,active,v2.1,1.0,North Exchange,north,dispatch,82.0
I0052,DL00690,vehiclefault,2024-12-12 07:51:00,medium,open,21.6,2,O00129,D167,V096,H01,2024-12-12 05:16:00,2024-12-13 10:27:02.080765,failed,17.64,0.0,0.0,2.59,15.08,1751.0346794166667,12.0,720.0,1.0,1.0,south,parttime,12.0,75.3,4.64,night,1.0,cargovan,east,2025-08-21 07:26:00,85.1,193315.0,inrepair,v2.0,1.0,North Exchange,north,dispatch,82.0
I0053,DL00864,proofmissing,2025-10-27 18:48:00,critical,escalated,11.9,4,O00818,D135,V076,H06,2025-10-27 16:02:00,2025-10-27 17:01:23.863641,ontime,11.68,0.0,0.0,3.14,18.27,59.39772735,1.0,60.0,0.0,0.0,riverside,parttime,2.0,70.3,4.4,flexible,1.0,diesel,central,2025-06-19 15:52:00,65.8,106063.0,inrepair,v1.9,1.0,Airport Hub,airport,dispatch,71.0
I0054,DL00324,proofmissing,2024-08-14 07:43:00,low,closed,17.0,1,O00455,D042,V059,H07,2024-08-14 04:59:00,2024-08-14 10:11:51.273104,failed,21.07,1.0,0.0,3.21,12.52,312.8545517333333,6.0,360.0,0.0,1.0,north,fulltime,9.0,70.5,3.37,night,1.0,hybrid,airport,2024-03-02 20:36:00,85.2,188332.0,inrepair,v2.1,1.0,Riverside Hub,riverside,warehouse,66.0
I0055,DL00633,routedeviation,2024-12-11 06:59:00,high,open,21.5,3,O00272,D127,V047,H05,2024-12-11 06:48:00,2024-12-12 05:20:32.062021,ontime,11.86,2.0,0.0,4.06,13.31,1352.5343670166667,24.0,1440.0,0.0,0.0,central,fulltime,10.0,61.5,4.19,morning,1.0,ev,ctr,2025-02-15 14:49:00,93.7,134347.0,scheduled,v2.2,0.0,Central Core,central,control,88.0
I0056,DL00788,vehiclefault,2025-05-07 05:14:00,low,pendingvendor,14.5,1,O00927,D108,V058,H05,2025-05-07 05:03:00,2025-05-08 00:15:39.140252,failed,10.39,0.0,0.0,4.32,19.57,1152.6523375333334,6.0,360.0,1.0,1.0,south,fulltime,10.0,70.6,4.33,morning,1.0,hybrid,central,2024-07-11 13:11:00,74.1,15138.0,active,v2.0,0.0,Central Core,central,control,88.0
I0057,DL00766,proofmissing,2025-01-27 07:52:00,high,open,6.7,3,O00371,D082,V088,H07,2025-01-27 04:54:00,2025-01-27 12:48:47.192242,failed,10.55,0.0,0.0,2.58,13.84,474.78653736666666,4.0,240.0,1.0,1.0,west,parttime,14.0,74.1,4.63,evening,1.0,diesel,north,2024-02-14 14:03:00,80.3,50427.0,inrepair,v2.1,1.0,Riverside Hub,riverside,warehouse,66.0
I0058,DL00285,vehiclefault,2025-06-22 16:15:00,low,open,14.9,1,O00442,D001,V097,H07,2025-06-22 14:54:00,2025-06-22 17:41:05.902000,ontime,9.22,0.0,0.0,4.95,8.62,167.09836666666666,4.0,240.0,0.0,0.0,airport,fulltime,8.0,67.8,3.54,morning,1.0,ev,ctr,2024-11-12 12:56:00,92.1,18680.0,active,v2.1,0.0,Riverside Hub,riverside,warehouse,66.0
I0059,DL00670,vehiclefault,2024-08-30 20:57:00,high,closed,15.7,3,O01248,D098,V006,H04,2024-08-30 19:26:00,2024-08-31 15:46:01.398224,ontime,11.65,1.0,0.0,4.28,17.56,1220.0233037333335,24.0,1440.0,0.0,0.0,south,contract,3.0,70.9,4.29,morning,1.0,ev,central,2025-11-22 06:39:00,78.6,141381.0,active,v2.1,0.0,West Gate,west,dispatch,69.0
I0060,DL00080,vehiclefault,2025-10-14 11:03:00,low,closed,1.0,1,O01137,D030,V022,H04,2025-10-14 08:21:00,2025-10-14 08:32:00.000000,ontime,16.29,0.0,0.0,4.42,14.17,11.0,2.0,120.0,0.0,0.0,central,fulltime,7.0,74.0,4.56,night,1.0,hybrid,south,2025-01-28 20:20:00,89.6,44499.0,scheduled,v2.1,0.0,West Gate,west,dispatch,69.0
I0061,DL00121,temperatureissue,2024-03-14 04:34:00,medium,open,20.1,2,O00091,D078,V100,H05,2024-03-14 02:36:00,2024-03-14 09:52:56.769516,ontime,18.81,0.0,0.0,3.92,11.62,436.9461586,6.0,360.0,1.0,0.0,north,fulltime,11.0,73.7,4.28,morning,1.0,cargovan,east,2024-06-23 11:24:00,60.1,31876.0,active,v2.0,1.0,Central Core,central,control,88.0
I0062,DL00481,temperatureissue,2024-03-14 18:27:00,low,closed,23.5,1,O01095,D077,V086,H04,2024-03-14 17:15:00,2024-03-14 20:29:07.930187,ontime,16.16,1.0,0.0,3.89,22.66,194.13216978333332,6.0,360.0,0.0,0.0,south,fulltime,8.0,64.9,3.68,morning,1.0,ev,central,2024-02-25 07:56:00,82.8,42307.0,scheduled,v2.2,0.0,West Gate,west,dispatch,69.0
I0063,DL00669,routedeviation,2025-06-01 06:53:00,low,open,13.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I0064,DL00366,customernoshow,2025-07-24 05:26:00,medium,closed,18.6,2,O00910,D146,V095,H06,2025-07-24 04:05:00,2025-07-24 11:38:55.420285,ontime,17.03,0.0,0.0,3.63,18.63,453.92367141666665,6.0,360.0,1.0,0.0,airport,contract,1.0,,4.36,morning,1.0,cargovan,riverside,2025-11-24 12:43:00,79.0,104553.0,inrepair,v2.0,1.0,Airport Hub,airport,dispatch,71.0
I0065,DL00435,proofmissing,2024-09-13 19:32:00,low,closed,10.3,1,O00198,D129,V087,H08,2024-09-13 18:46:00,2024-09-13 22:25:00.821660,ontime,10.63,0.0,0.0,5.0,4.82,219.01369433333332,2.0,120.0,1.0,0.0,north,fulltime,10.0,64.9,4.18,night,1.0,hybrid,airport,2025-02-09 18:48:00,49.7,116811.0,active,v2.1,1.0,Midtown Relay,central,charging,63.0
