driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
D146,airport,contract,1,,4.36,morning,1
D147,west,fulltime,13,66.4,3.8,night,1
D148,central,parttime,10,53.1,4.4,flexible,1
D149,airport,fulltime,7,81.5,4.55,night,1
D150,east,fulltime,12,88.1,4.08,night,1
D151,east,fulltime,2,71.3,4.69,flexible,1
D152,north,parttime,5,,4.06,flexible,1
D153,east,fulltime,8,82.3,3.83,evening,1
D154,airport,fulltime,4,67.0,4.35,evening,1
D155,central,parttime,6,69.5,3.98,morning,1
D156,south,fulltime,14,84.5,3.62,evening,1
D157,south,fulltime,13,74.1,4.42,evening,1
D158,central,fulltime,5,81.4,4.45,morning,1
D159,airport,fulltime,11,68.6,4.18,morning,1
D160,east,fulltime,12,72.8,4.48,morning,1
D161,north,fulltime,1,84.7,4.02,evening,1
D162,riverside,contract,11,69.0,4.62,night,1
D163,riverside,fulltime,11,78.2,4.5,morning,0
D164,central,fulltime,5,76.1,4.07,flexible,1
D165,north,parttime,10,82.2,3.89,night,1
D166,west,parttime,7,74.6,4.07,night,1
D167,south,parttime,12,75.3,4.64,night,1
D168,north,fulltime,12,93.6,3.84,morning,1
D169,east,contract,5,77.6,3.81,flexible,1
D170,west,fulltime,14,75.2,4.48,morning,1
